seed,arm,arm_branch,arm_layer,arm_kind,arm_src,arm_delta,arm_reset,k,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc_end,full_ce_end,state_sha256,hash_match_prefix,acc_match_prefix,hash_match_resp_ee,acc_match_resp_ee,logits_equal_mb,nbar_neffT2,n_probe,probe_zero2_mean,probe_effbar2_first,probe_effbar2_last,probe_dmean2_first,probe_dmean2_last,probe_zarm2_first,probe_zarm2_last,shadow_online_acc,shadow_state_sha256,shadow_hash_match_prefix,shadow_acc_match_prefix,logits_equal_full,logit_maxdiff_full,g1_start,logg1_start,neff1_start,lowgate1_start,zbar1_start,sigma1_start,effbar1_start,pplus1_start,gtr1_start,zero1_start,deadunits1_start,neffT1_start,g2_start,logg2_start,neff2_start,lowgate2_start,zbar2_start,sigma2_start,effbar2_start,pplus2_start,gtr2_start,zero2_start,deadunits2_start,neffT2_start,mu2_start,pf_eps_w1,pf_zero_w1,pf_logrms_med_w1,pf_eps_w2,pf_zero_w2,pf_logrms_med_w2,pf_eps_w3,pf_zero_w3,pf_logrms_med_w3,field0_equal_fixed,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec
5,R2_10_noanchor,10,2,noanchor,2,,False,1,11,0.17182291666666666,2.1312154100735983,0.09,2.8663648573557534,0.30025,0.11083333333333334,True,0.1669938057214798,0.3993448625017966,0.08216783078352326,0.4607752886659,0.20892097009709687,0.2451460701801504,0.23677295918367347,0.0,0.0,0.23521683673469387,0.0,0.0,0.23359693877551022,0.0,0.0,0.22293367346938775,0.0,0.0,0.3466666638851166,1.6953334114413823,50436759423f06ec2306f171b919ae057ee5dcb92568a0257852b8a831f62a74,False,False,,,False,0.08815880598917346,9,0.8109777777777778,-0.0739238391327035,-34.28970747667782,69.44216151160026,69.44216151160026,-69.51608535073296,-103.73186898827808,,,,,False,50.14657020568848,0.48975960156495046,-1.174742289312888,0.5126118652794419,0.42875,0.1812957966145671,5.689534444065073,0.1812957966145671,0.4503750000000001,0.48975960106998684,0.04448333333333333,0.0,0.5126118638038231,0.6607459640625286,-0.4453359664715664,0.7427846431065704,0.08980833333333332,-69.51608535073296,25.16837629094113,-0.07392383913270506,0.4936166666666667,0.6607459640527766,0.0,0.0,0.7427846431494917,81.61224172133088,0.22075255102040817,0.21011479591836735,-2.8880383711446354,0.0,0.0,-1.5119717218855326,0.0,0.0,-1.8742993135128758,,0.5192919882410412,-1.025210786272037,0.5405336107012095,0.4041583333333334,1.6929050718226235,6.252842650600964,1.6929050718226235,0.4823583333333334,0.5192919876838724,0.04766666666666666,0.0,0.5405336093574947,0.010219712645897923,-11.015485737413899,0.01338360309820875,0.9846666666666667,-103.73186898827805,36.23212637086481,-34.28970747667781,0.008325,0.010219711541136108,0.8680916666666666,0.0,0.013363758828923617,103.07568455003009,4.299278974533081
5,R2_10_noanchor,10,2,noanchor,2,,False,2,12,0.15436458333333333,2.1558998715480167,0.095,2.548570817311605,0.24675,0.11166666666666666,True,0.1424902056735391,0.2968309050387082,0.0975894772806214,0.19325857841370936,0.21445466726133114,0.2890958976543819,0.22270408163265307,0.0,0.0,0.22255102040816327,0.0,0.0,0.2245408163265306,0.0,0.0,0.2255484693877551,0.0,0.0,0.27250000834465027,1.8442368067567168,176c9d5c56445d590d7ab43173f496ad91aae3a5f036cefdf730cb6cb0d90d70,False,False,,,,0.005961607210731443,9,0.9355657407407408,-34.28970747667782,-39.939455498069435,69.44216151160026,69.44216151160026,-103.73186898827808,-109.3816170096697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516561583935158,-0.9840365652162744,0.5376307486637093,0.4073833333333333,2.001502334855326,6.397641066843837,2.001502334855326,0.47905833333333336,0.5165615834454695,0.044325,0.0,0.5376307475299236,0.007784447304927725,-10.411595240249607,0.009857884380629973,0.9890583333333335,-109.3816170096697,37.621207425125924,-39.93945549806943,0.006458333333333332,0.007784446553885937,0.907775,0.0,0.009836866267201424,109.92559725949721,4.77654242515564
5,S2_5r,2,2,field,5,,True,1,3,0.7548645833333333,1.3774299560683625,0.08916666666666667,13.32449473063151,1.0,0.1125,True,0.10892153466920718,0.23351629866131893,0.13767713485867716,0.2755907946266234,0.14161370678266394,0.4004594051123907,0.4783290816326531,0.0358,0.0,0.21252551020408164,0.0,0.0,0.20815051020408162,0.0,0.0,0.2090561224489796,0.0,0.0,1.0,0.009300145234189417,e498ac06f1120d70b53abec598bf93e98461a2c10be3343f1282caf868fce728,False,False,True,True,True,0.17512640504060573,9,0.3723027777777778,-17.041361045201608,-12.498561380164961,-16.967437201602664,-16.967437201602664,-0.0739238435989435,4.4688758214377025,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.0650284555904841,-3.7585012914140963,0.07349785360719902,0.9045083333333334,-0.07392384359894351,2.0099400709925392,-17.041361045201608,0.05238333333333333,0.06502845344046751,0.48446666666666666,0.0,0.07349779204100179,5.12177184765107,0.21239795918367346,0.20790816326530612,-4.8864378952565195,0.0,0.0,-4.166270918977563,0.0,0.0,-1.8342826538734733,,0.611091843411347,-0.5888888078698808,0.6679047824010214,0.19874999999999995,0.11966657704569324,2.9774238593160907,0.11966657704569324,0.5054083333333332,0.6110918433427811,1.6666666666666667e-05,0.0,0.6679047822596168,0.20892754221524026,-2.287828333787328,0.2234629196165604,0.7388666666666667,4.4688758214377025,6.85397878889979,-12.498561380164963,0.18233333333333335,0.20892754069318376,0.3514333333333333,0.0,0.2234628577137187,20.6872301520228,6.852190971374512
5,S2_5r,2,2,field,5,,True,2,4,0.8656666666666667,0.5039549260747541,0.10333333333333333,5.619044472376506,1.0,0.12083333333333333,True,0.10694549184336209,0.865179105506589,0.1295804358712,0.9681256670349587,0.1414015857853883,1.0100935081330438,0.2090561224489796,0.0,0.0,0.2084311224489796,0.0,0.0,0.20860969387755102,0.0,0.0,0.21001275510204082,0.0,0.0,1.0,0.006166362279850101,44ea37e672f4e4be0185f3fd20784adfb0861634ce902869e9bb7fa26f13e0e4,False,False,True,True,,0.14647132645767158,9,0.4747203703703704,-12.498561380164961,-16.935152027207533,-16.967437201602664,-16.967437201602664,4.4688758214377025,0.03228517439513234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5524848340686649,-0.6785002387409809,0.6049855577826325,0.2657416666666667,-0.4701586585280117,3.6162360631769603,-0.4701586585280117,0.4550666666666667,0.5524848340680201,0.00041666666666666664,0.0,0.6049855577752664,0.14754791422559244,-2.723496650340495,0.15797081130720336,0.8148249999999999,0.03228517439513233,8.233250378208586,-16.935152027207533,0.12874999999999998,0.14754791263590258,0.48613333333333336,0.0,0.15797080145268974,17.912857370154853,13.098620653152466
5,S2_7r,2,2,field,7,,True,1,3,0.56934375,1.9430561396131913,0.09,13.397134297688803,0.901,0.1125,True,0.1725602821461507,0.22490747505798936,0.2156186311209846,0.2514763576133798,0.19724095905864183,0.4006437937884281,0.48086734693877553,0.5905,0.0,0.21525510204081633,0.0513,0.0,0.20872448979591837,0.059,0.0,0.20855867346938775,0.04,0.0,0.9316666722297668,0.2804496545883963,997fa88360f6db6213c2ccbaae8842581da8a6dd5dbf5124a7b09d9bfb6222e1,False,False,True,True,True,0.044980035992179,9,0.7965574074074073,-39.878967741610495,-32.203997062966096,-39.805043898011554,-39.805043898011554,-0.0739238435989435,7.601046835045462,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.010058555599874265,-8.826042892062127,0.012082690129776572,0.985825,-0.07392384359894351,2.0099400709925392,-39.8789677416105,0.008466666666666667,0.010058554811278979,0.8959833333333332,0.0,0.012056365416901343,5.12177184765107,0.21534438775510203,0.20790816326530612,-6.018184327690874,0.0496,0.0,-6.98663275223668,0.0,0.0,-1.8342826538734733,,0.7360170679775098,-0.34030558910139846,0.777806928945245,0.12358333333333332,1.3600515423894177,3.226171270150344,1.3600515423894177,0.6490166666666666,0.7360170679718255,5.833333333333333e-05,0.0,0.7778069289415867,0.0714385045745011,-4.454451137088111,0.07629241276685499,0.9098083333333332,7.601046835045463,10.898536032141076,-32.20399706296609,0.0632,0.07143850356886784,0.73565,0.0,0.07628713419684854,25.648928640725405,13.006218910217285
5,S2_7r,2,2,field,7,,True,2,4,0.5937604166666667,1.2381978093584378,0.0975,4.784576056798299,0.8450833333333333,0.12083333333333333,True,0.16241427962571228,0.7338153799840559,0.17845215929264668,0.7553655964632828,0.2095749339835796,0.6662640503297249,0.20853316326530613,0.04,0.0,0.20830357142857142,0.0202,0.0,0.20841836734693878,0.014,0.0,0.2089158163265306,0.01,0.0,0.8700000047683716,0.4245198082568338,6a79a30197287dd9dd5b9800b65df015161eb7a0354e2c2b4829c6f9a7405797,False,False,True,True,,0.035838637120359,9,0.8486611111111111,-32.203997062966096,-41.578643645827576,-39.805043898011554,-39.805043898011554,7.601046835045462,-1.773599747816023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6548501609508738,-0.47211111184366866,0.6952849934450412,0.20251666666666665,0.7575861955757045,4.089234734543372,0.7575861955757045,0.5751666666666667,0.6548501609106858,0.0010166666666666666,0.0,0.6952849933363282,0.04266754744345758,-4.7002763187223175,0.0456207914996362,0.9466083333333334,-1.7735997478160235,14.186580993060153,-41.578643645827576,0.038025,0.042667546753585334,0.838175,0.0,0.04562051624867725,24.05615410220359,12.866963386535645
5,S2_10r,2,2,field,10,,True,1,3,0.32698958333333333,2.5446631152033805,0.09,13.41752737681071,0.51275,0.1125,True,0.19908168719606087,0.22313928600245464,0.17201789172395365,0.167264619958587,0.21610623971597911,0.4014886857476085,0.6543622448979591,0.945,0.0,0.26253826530612245,0.4059,0.0,0.24052295918367347,0.346,0.0,0.21190051020408163,0.2893,0.0,0.5475000143051147,1.2619826407738426,eabf648c5188633f722edf959e0c9d78ec772b5467b94e4a99396d29f319d917,False,False,True,True,True,0.007952708337842103,9,0.966412037037037,-69.51608535519921,-67.08700947728796,-69.44216151160026,-69.44216151160026,-0.0739238435989435,2.3551520343122925,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.0021828083645876236,-14.494194850336724,0.0031484140017704596,0.9972083333333334,-0.07392384359894351,2.0099400709925392,-69.51608535519921,0.0019166666666666666,0.002182808224360148,0.9833000000000002,0.08,0.0030366463917680174,5.12177184765107,0.2592984693877551,0.22448979591836735,-7.23077100661507,0.3993,0.08,-15.492226286851025,0.0,0.0,-1.8342826538734733,,0.7860044201729434,-0.2645495051131347,0.8256860869983865,0.08241666666666667,1.893125787319651,3.0385346286086365,1.893125787319651,0.7020249999999999,0.7860044201731684,0.0,0.0,0.8256860870112526,0.013637360638930033,-11.551978994425651,0.014986405502966833,0.9830416666666667,2.355152034312293,10.537933236949225,-67.08700947728795,0.012366666666666663,0.013637360408405463,0.9457166666666668,0.13,0.014786014186415451,28.539502242465435,9.770073175430298
5,S2_10r,2,2,field,10,,True,2,4,0.36494791666666665,1.7901754248738289,0.10583333333333333,3.2607155577341715,0.5079166666666667,0.12083333333333333,True,0.1647170254982484,0.5886837797394643,0.15736013153946257,0.5236847413470969,0.21233813596093873,0.3754670689037691,0.21191326530612245,0.2893,0.0,0.21190051020408163,0.2796,0.0,0.2125765306122449,0.2414,0.0,0.21276785714285715,0.2393,0.0,0.5516666769981384,1.3088760902592032,1a0116ccf7b6b01c4f5ce8dc88a9732bcf3a45c8e0be2d6fb0f862ac5152ff2b,False,False,True,True,,0.00974895559995657,9,0.9635148148148147,-67.08700947728796,-71.67113695616708,-69.44216151160026,-69.44216151160026,2.3551520343122925,-2.2289754445668155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6302929400899484,-0.5442773473165414,0.6738743339475833,0.21805000000000002,0.5455857017104475,3.824137328958776,0.5455857017104475,0.5459666666666666,0.6302929401189088,0.000575,0.0,0.6738743339910261,0.012270539713419017,-11.297023170776775,0.013373056355787838,0.9852,-2.2289754445668155,12.917698411247086,-71.67113695616709,0.011225,0.012270539512733618,0.9565916666666666,0.13,0.01322007009737603,26.742743680869097,4.719107389450073
5,S2_15r,2,2,field,15,,True,1,3,0.25163541666666667,2.73694764872392,0.09,13.41429059346517,0.34983333333333333,0.1125,True,0.1986580430017663,0.1570501682484367,0.1078184703962203,0.08218868607703674,0.2195847687932352,0.40134885503600043,1.0,1.0,0.0,0.4254719387755102,0.8306,0.0,0.3535714285714286,0.7692,0.0,0.23315051020408165,0.7403,0.0,0.37833333015441895,1.7136294920525714,782f98066453d525e45644c1d48f22006cbabe4a9d1fc5638f51db06e1f86c12,False,False,True,True,True,0.002157586878503839,9,0.9926416666666668,-104.58675481358203,-103.448473949707,-104.51283096998309,-104.51283096998309,-0.0739238435989435,1.0643570202760921,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.00034470815044862014,-27.640278206377676,0.0013238326884912504,0.9996166666666666,-0.07392384359894351,2.0099400709925392,-104.58675481358205,0.0003333333333333333,0.00034470813820759456,0.9982750000000001,0.68,0.0005338249836322004,5.12177184765107,0.4321811224489796,0.34183673469387754,-8.382839478871235,0.8356,0.68,-18.281928931404195,0.0,0.0,-1.8342826538734733,,0.8221108110350809,-0.21465512868247172,0.8555944164624012,0.06664166666666667,2.343730450984774,2.9628807002227178,2.343730450984774,0.7494749999999999,0.8221108110283813,0.0,0.0,0.855594416458048,0.0036830164232932133,-26.126294199909548,0.004801757423674945,0.9956999999999999,1.0643570202760921,8.908029498539577,-103.44847394970701,0.0034500000000000004,0.003683016375203928,0.9874166666666666,0.67,0.003937320099107822,32.03190699284857,4.821287155151367
5,S2_15r,2,2,field,15,,True,2,4,0.28783333333333333,1.981465011616548,0.08666666666666667,2.840654484430949,0.37616666666666665,0.12083333333333333,True,0.15312019515173841,0.5286381744857257,0.11125581703102701,0.3217655571643263,0.2117512891224275,0.302741617973273,0.23315051020408165,0.7403,0.0,0.23317602040816326,0.7405,0.0,0.23385204081632652,0.7032,0.0,0.22082908163265305,0.65,0.0,0.40416666865348816,1.684331087092406,925a3a1d081469e62173d6214ca0fc43435c1543f7b042358614eff6fc4fd590,False,False,True,True,,0.002867586288591491,9,0.9890361111111111,-103.448473949707,-104.52142408619599,-104.51283096998309,-104.51283096998309,1.0643570202760921,-0.008593116212903987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8021927664050504,-0.2543094440292685,0.8330336634135089,0.09324166666666667,2.466816659889972,3.3621661516655434,2.466816659889972,0.7372166666666666,0.802192766370376,0.0,0.0,0.833033663348786,0.004043746186454301,-23.84388352064233,0.005177870744659229,0.99505,-0.008593116212904048,11.331967998018838,-104.52142408619598,0.0036750000000000003,0.004043746107816696,0.9843583333333333,0.53,0.004465358768687201,35.67458327437644,4.716464519500732
5,S2_20r,2,2,field,20,,True,1,3,0.2428125,2.7823969801068307,0.09,13.415277570088705,0.31708333333333333,0.1125,True,0.1950336299862367,0.16860635390154735,0.04744199022111199,0.044285678540442554,0.21906736142166966,0.4014130216091871,1.0,1.0,0.0,0.4164923469387755,0.947,0.0,0.3109566326530612,0.9398,0.0,0.2705612244897959,0.92,0.0,0.34166666865348816,1.8366622874918888,aebe419a541193494adf2d436764db2a13f3247f67bcd38b42acf93bd313c912,False,False,True,True,True,0.0011615393482789732,9,0.9969018518518519,-128.29591311628877,-127.40324653242907,-128.22198927268983,-128.22198927268983,-0.0739238435989435,0.8187427402607572,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.00015184779006071258,-38.3493912506714,0.0012589213460021498,0.9998416666666666,-0.07392384359894351,2.0099400709925392,-128.29591311628874,0.00015000000000000001,0.00015184778521458306,0.999425,0.88,0.00022867192130462808,5.12177184765107,0.42135204081632655,0.37755102040816324,-9.54797378197982,0.9496,0.88,-18.91229903543698,0.0,0.0,-1.8342826538734733,,0.7076308893235428,-0.4146287687317003,0.7548937748676532,0.13443333333333335,1.0085186249053104,2.8707134170328485,1.0085186249053104,0.6147,0.7076308893213669,1.6666666666666667e-05,0.0,0.7548937748674543,0.0017990842813641237,-36.098465302281845,0.0028444575471565986,0.9980166666666667,0.8187427402607572,6.352994517222511,-127.40324653242905,0.0017583333333333333,0.0017990842695037523,0.9956333333333334,0.85,0.0018956160295344592,24.31310148411848,4.894798994064331
5,S2_20r,2,2,field,20,,True,2,4,0.23383333333333334,2.1050138088266053,0.10083333333333333,2.719651912053426,0.2826666666666667,0.12083333333333333,True,0.09204024694448285,0.3836996389145497,0.04415195497880594,0.14427085522280927,0.21273331073462032,0.28772102552466094,0.2705612244897959,0.92,0.0,0.2705612244897959,0.9163,0.0,0.27183673469387754,0.9085,0.0,0.2737627551020408,0.9,0.0,0.3108333349227905,1.9328498649317778,875d8ab2cff82d34a33e4bdb64063e715073637d64e169a7fde8889966327c37,False,False,True,True,,0.0005271024449306353,9,0.9987583333333334,-127.40324653242907,-129.25804374909606,-128.22198927268983,-128.22198927268983,0.8187427402607572,-1.0360544764062323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7427667761742248,-0.34978225553304676,0.7834821419568512,0.11941666666666667,1.4569600141931287,3.129383696289403,1.4569600141931287,0.6603583333333333,0.7427667761286102,1.6666666666666667e-05,0.0,0.7834821418599123,0.0005787581036695581,-35.79158308769798,0.0016486696120126155,0.9993166666666667,-1.036054476406232,7.582593406527476,-129.25804374909606,0.00055,0.0005787580986817678,0.9983833333333334,0.83,0.0007071543431593852,26.335107095832054,4.891420841217041
5,S2_10,2,2,field,10,,False,1,3,0.29935416666666664,2.132575735727946,0.09083333333333334,10.985658899943035,0.3909166666666667,0.1125,True,0.1437305122720621,0.21451482956763357,0.08283483537343272,0.22265283381178352,0.26175018650731846,1.7981591324011486,0.2080357142857143,0.0,0.0,0.2080484693877551,0.0,0.0,0.2082780612244898,0.0,0.0,0.2095280612244898,0.0,0.0,0.4300000071525574,1.616934273319867,d86c097844dd0fc7e853025ada421f1ba486246d686ab9046a60a2c53ccb873b,False,False,True,True,True,0.004236227550326314,9,0.98105,-69.51608535519921,-69.81380035350533,-69.44216151160026,-69.44216151160026,-0.0739238435989435,-0.3716388419050646,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.0021828083645876236,-14.494194850336724,0.0031484140017704596,0.9972083333333334,-0.07392384359894351,2.0099400709925392,-69.51608535519921,0.0019166666666666666,0.002182808224360148,0.9833000000000002,0.08,0.0030366463917680174,5.12177184765107,0.2592984693877551,0.22448979591836735,-7.23077100661507,0.3993,0.08,-15.492226286851025,0.0,0.0,-1.8342826538734733,,0.709718918009937,-0.3860882728655898,0.7676022603822784,0.10401666666666669,0.6745867320984348,2.4923584624276796,0.6745867320984348,0.5937166666666667,0.7097189180135728,0.0,0.0,0.7676022603981275,0.005700518398573127,-14.209068522347584,0.00689638399179164,0.9929666666666667,-0.37163884190506463,6.0157332588167085,-69.81380035350533,0.005183333333333334,0.005700518231590589,0.9736333333333335,0.12,0.00670409938622459,17.407316584831335,13.135732412338257
5,S2_10,2,2,field,10,,False,2,4,0.32969791666666665,1.8734030716518562,0.09583333333333334,3.0672589492797853,0.4695,0.12083333333333333,True,0.1753418218565154,0.562199711954842,0.12223835546440871,0.3991208747417356,0.21198969105413804,0.3267997837004562,0.2095280612244898,0.0,0.0,0.20951530612244898,0.0,0.0,0.2103954081632653,0.0,0.0,0.2096173469387755,0.0,0.0,0.5116666555404663,1.430584265504608,f9368a66061958423a415705cd31ba35b8a6d6ba6794723054dbe1927a3ab8f6,False,False,True,True,,0.0068436893669404355,9,0.9737666666666667,-69.81380035350533,-71.44680359026762,-69.44216151160026,-69.44216151160026,-0.3716388419050646,-2.004642078667363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6706265489207294,-0.5232208527239333,0.7133892100995175,0.18395000000000003,0.9378569550479976,3.403408631279446,0.9378569550479976,0.5886666666666667,0.6706265488743781,0.0002916666666666667,0.0,0.7133892100377976,0.009216081907987726,-13.95045523494653,0.010594214874899019,0.9886333333333335,-2.0046420786673624,9.673762791258897,-71.44680359026762,0.008366666666666666,0.009216081735988459,0.9634250000000002,0.12,0.010392042510034177,28.609494182028843,11.315418004989624
5,S2u5r,2,2,uniform,,5.0,True,1,3,0.6463333333333333,1.6409761270741776,0.09,12.53651294708252,0.99925,0.1125,True,0.14546510364804516,0.2014826582550692,0.189480016545834,0.2640743099618703,0.1645299540959968,0.3978599285862098,0.4783290816326531,0.0,0.0,0.21303571428571427,0.0,0.0,0.20860969387755102,0.0,0.0,0.20894132653061223,0.0,0.0,1.0,0.011810313628211846,7e283df6191a03725b8f13b490dede93b63e80fd7757336a27f7687fe0f2dfdf,False,False,True,True,True,0.16556963760368815,9,0.06293796296296297,-5.073923843598943,-7.056516126463109,-5.0,-5.0,-0.0739238435989435,-2.056516126463108,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.047218128344395004,-3.2709445432257316,0.11315678233285681,0.842725,-0.07392384359894351,2.0099400709925392,-5.073923843598942,0.01265,0.04721812829573948,0.0,0.0,0.11315678213872168,5.12177184765107,0.21220663265306122,0.20790816326530612,-4.805430798286954,0.0,0.0,-4.304948257522405,0.0,0.0,-1.8342826538734733,,0.6996562049012702,-0.3922304702342015,0.7479683190885636,0.13749166666666665,0.7049858584183414,3.0261191909770235,0.7049858584183414,0.6010583333333333,0.699656204896172,3.3333333333333335e-05,0.0,0.7479683190618727,0.23690879091745345,-1.6504940563071653,0.25902395210542656,0.6835416666666667,-2.056516126463108,8.183372433551721,-7.0565161264631096,0.198225,0.23690878956615927,0.13608333333333333,0.0,0.25902394903489295,18.022117498818087,4.833843946456909
5,S2u5r,2,2,uniform,,5.0,True,2,4,0.7776041666666667,0.7300700674081066,0.09083333333333334,4.763349469502767,1.0,0.12083333333333333,True,0.12962234160841035,0.7798382185865194,0.15476922424325795,0.8058109798002988,0.1574065454663772,0.8865227464896936,0.20887755102040817,0.0,0.0,0.20848214285714287,0.0,0.0,0.2085969387755102,0.0,0.0,0.21042091836734694,0.0,0.0,1.0,0.009069339280520467,f9424588359bf843c773ac6c585815675e39f9570f785e8a109771411d1f0456,False,False,True,True,,0.12814849527193195,9,0.37476851851851856,-7.056516126463109,-14.588512030764987,-5.0,-5.0,-2.056516126463108,-9.588512030764987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6228588691167078,-0.5640829185782452,0.6634267721847101,0.23626666666666668,0.3893224978876882,3.904676578375474,0.3893224978876882,0.5447,0.6228588690410057,0.002325,0.0,0.6634267720081785,0.1379090080379577,-2.5178938615455273,0.1491490405153815,0.8212666666666667,-9.588512030764988,11.374830351095842,-14.588512030764985,0.11849999999999998,0.13790900610188644,0.4224833333333335,0.0,0.14914903164197502,26.986942912436565,4.9010536670684814
5,S2u10r,2,2,uniform,,10.0,True,1,3,0.6758333333333333,1.6363937924265242,0.09,13.4014382425944,0.9988333333333334,0.1125,True,0.17325489002754085,0.1872049379744567,0.231159933025386,0.28231865493580693,0.16092284152758413,0.4013651135998467,0.4789923469387755,0.0004,0.0,0.21946428571428572,0.0,0.0,0.20840561224489795,0.0,0.0,0.20911989795918368,0.0,0.0,1.0,0.016377895577788383,46fa72ffcc9838b03b819aeab6c1e96f8d72d46c8cf79f4103bd4957b1adba72,False,False,True,True,True,0.13399916217195978,9,0.19018796296296295,-10.073923843598944,-10.826757326152649,-10.0,-10.0,-0.0739238435989435,-0.8267573261526491,,,,,True,0.0,0.4973132913016838,-0.7942402997041973,0.6123730504868558,0.17189166666666666,-1.0661737007167928,1.7855833183185315,-1.0661737007167928,0.309775,0.4973132912278176,0.0,0.0,0.6123730503768332,0.0007966068245027654,-7.802359809489271,0.045017895290373644,0.9980166666666668,-0.07392384359894351,2.0099400709925392,-10.073923843598942,9.166666666666667e-05,0.0007966067433357238,0.003841666666666666,0.0,0.04501788534464197,5.12177184765107,0.21517857142857144,0.20790816326530612,-7.728370367970542,0.0,0.0,-8.527291112693364,0.0,0.0,-1.8342826538734733,,0.6888164528629592,-0.4078861745796863,0.7339827346221436,0.156275,0.7773396966977618,3.399424416309549,0.7773396966977618,0.597075,0.6888164528364936,0.0004,0.0,0.7339827345591523,0.19437793755076938,-1.943406689537632,0.2082288315641164,0.7546083333333332,-0.8267573261526491,10.733124965011795,-10.826757326152649,0.1694083333333333,0.19437793579747278,0.30495,0.0,0.20822882707053103,20.291932060485784,4.959151744842529
5,S2u10r,2,2,uniform,,10.0,True,2,4,0.7437291666666667,0.8255971607746712,0.105,4.843148450851441,0.9989166666666667,0.12083333333333333,True,0.1376558972466834,0.7929113462644939,0.16350941117707407,0.8198146446375176,0.17104440079735164,0.923153383191675,0.2090561224489796,0.0,0.0,0.20853316326530613,0.0,0.0,0.2087372448979592,0.0,0.0,0.21088010204081634,0.0,0.0,1.0,0.01642524348626643,a0e3f640ce8a75a7e80ad33800614af4acd1a1b03fbba509f6a438cf528838fe,False,False,True,True,,0.09446693171063147,9,0.5322175925925925,-10.826757326152649,-18.95214760481693,-10.0,-10.0,-0.8267573261526491,-8.952147604816927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.580597192260479,-0.6264719256111089,0.6215721665206784,0.27535,-0.05703964011378113,4.28467104737774,-0.05703964011378113,0.502075,0.5805971922382712,0.002558333333333333,0.0,0.621572166475168,0.10659153795523992,-2.8342449536882692,0.11500637993164188,0.8626000000000001,-8.952147604816927,12.959220383568077,-18.952147604816926,0.09204166666666666,0.10659153620103996,0.5567666666666666,0.0,0.11500637529494659,25.546896325000723,4.736769199371338
