exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id
B,5,1000,std,0.0,1,0.01,1,0,none,{'name': 'none'},B_w5_K1000_c0.0_lr0.01_s0
B,5,1000,std,0.0,1,0.01,1,1,none,{'name': 'none'},B_w5_K1000_c0.0_lr0.01_s1
B,20,1000,std,0.0,1,0.01,1,0,none,{'name': 'none'},B_w20_K1000_c0.0_lr0.01_s0
B,20,1000,std,0.0,1,0.01,1,1,none,{'name': 'none'},B_w20_K1000_c0.0_lr0.01_s1
