seed,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc,state_sha256,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec
8,1,0.8091979166666666,0.5657468923809259,0.11416666666666667,2.3152848275502524,0.96375,0.11333333333333333,True,0.1610574807791636,0.2223277949572851,0.19964069200250378,0.27681888993053383,0.1780536814420278,0.2865661100562041,0.4502551020408163,0.0,0.0,0.21558673469387754,0.0,0.0,0.21556122448979592,0.0,0.0,0.21556122448979592,0.0,0.0,1.0,75131c04ad6779c576b21c7a062ab346c6d823676a9c3ecb94072766afc434f0,0.5823828073916516,-0.5507485475285648,0.7338927812150158,0.04744166666666667,-0.6947654231392061,1.1816148025608344,-0.6947654231392061,0.294025,0.5823828073893984,0.0,0.0,0.7338927812827819,0.741527511138029,-0.30476657698529463,0.8410476511713861,0.011241666666666665,0.06852185403471521,1.265050331843818,0.06852185403471521,0.5146166666666666,0.7415275111099083,0.0,0.0,0.8410476511600149,2.7124006852271147,4.625357151031494
8,2,0.7614270833333333,0.7243446455509014,0.11583333333333333,4.784062039057414,0.96325,0.12833333333333333,True,0.11032986535671323,0.4003072031385576,0.1651321116755753,0.7944521761965007,0.1542259629483548,1.1798329891947408,0.21556122448979592,0.0,0.0,0.21556122448979592,0.0,0.0,0.21557397959183675,0.0,0.0,0.21586734693877552,0.0,0.0,0.9674999713897705,adea2f111be166aa84eaeac49328cecb6ac1741a3a1efae61cb4882c0335dc80,0.33078127653210343,-1.2540105772102967,0.4488286534220467,0.33179166666666665,-2.148757132442652,2.0579348569784006,-2.148757132442652,0.17335000000000003,0.3307812764684359,1.6666666666666667e-05,0.0,0.4488286533338187,0.5383859477510857,-0.7345956064771939,0.6575636344090825,0.12023333333333333,-0.7809770363392794,1.5980973423344877,-0.7809770363392794,0.3416333333333333,0.5383859478026628,0.0,0.0,0.6575636345669181,6.15959106927167,4.628292560577393
8,3,0.7652916666666667,0.6919665266350494,0.1125,4.406009407043457,1.0,0.12916666666666668,True,0.09655853232713223,0.38361934023366,0.12919344792104917,0.6558704308311765,0.13456663184282056,0.9753029940960308,0.21586734693877552,0.0,0.0,0.21584183673469387,0.0,0.0,0.21591836734693878,0.0,0.0,0.21659438775510204,0.0,0.0,1.0,0aa50669b07f9f4bc9bd03345ddd6073e17ba1b2ddc7f63a86e6162245cd144d,0.36251784029102274,-1.1413779162867628,0.4548949923950469,0.35104166666666664,-2.0896322158960188,2.5130845246530105,-2.0896322158960188,0.22507500000000008,0.36251784030944106,0.00015000000000000001,0.0,0.4548949924538461,0.5470208549616657,-0.6926969259663426,0.6257656879594687,0.1974166666666667,-0.7055632015511538,2.441410111943807,-0.7055632015511538,0.40461666666666674,0.5470208550309141,0.0,0.0,0.625765688053031,5.599957213538974,11.53685450553894
8,4,0.7926770833333333,0.6300165668683669,0.09666666666666666,5.328825718561808,1.0,0.115,True,0.12496263521029503,0.6711869799376776,0.16237408012193555,0.9595297577713305,0.15656895667113227,1.4951339177787304,0.21659438775510204,0.0,0.0,0.21623724489795917,0.0,0.0,0.21625,0.0,0.0,0.21770408163265306,0.0,0.0,1.0,5f92bcde270946b8b08f3f3619969f52cc66a4f08d5009971fb5f89e2d34dc3e,0.3888459782502269,-1.1256700361945209,0.4594095643345019,0.38194999999999996,-2.1317969479750065,3.0801923389928265,-2.1317969479750065,0.27599999999999997,0.38884597827941186,0.0011583333333333333,0.0,0.4594095644355992,0.319208834081392,-1.274524856017319,0.37103429059479204,0.500825,-3.069416274456119,4.068475057560771,-3.069416274456119,0.2353333333333333,0.3192088340779146,0.002941666666666666,0.0,0.3710342905752028,8.601023833663543,9.15781307220459
8,5,0.69553125,0.8734043331188925,0.09833333333333333,4.486766840616862,0.9909166666666667,0.11416666666666667,True,0.13816110109686028,0.547725864550254,0.16516701687639093,0.70552760589635,0.17990412261466798,1.045849345003565,0.21770408163265306,0.0,0.0,0.21729591836734694,0.0,0.0,0.2175637755102041,0.0,0.0,0.21908163265306121,0.0,0.0,1.0,780c01f51d006dd47ac7bb1df3c1df81bc44ddcb52b8d5748eb29e48832bcee4,0.3869976657546911,-1.1383221965281576,0.44136347966432515,0.4285666666666667,-2.2741114720270157,3.7369833069619363,-2.2741114720270157,0.2985083333333333,0.3869976655438542,0.004125,0.0,0.44136347923246544,0.16864912871968218,-2.156301942493332,0.19341157880064028,0.7439250000000002,-7.671754899707349,6.303760847697056,-7.671754899707349,0.12935833333333333,0.16864912755191327,0.10668333333333332,0.0,0.19341157582513,15.310763404697823,4.6936070919036865
8,6,0.5454583333333334,1.214784283767299,0.09833333333333333,4.466150592168172,0.9426666666666667,0.11833333333333333,True,0.15894257800452274,0.5958856116437043,0.1710501985702043,0.6501634114344295,0.21465820806649089,1.1190465302206576,0.21908163265306121,0.0,0.0,0.21860969387755103,0.0,0.0,0.21913265306122448,0.0,0.0,0.22141581632653062,0.0,0.0,0.9683333039283752,e005824727140678b76c7e613e3b49a53ab129a7ab239f769db8eea04bd9e8c6,0.41072575152123425,-1.15729104386922,0.4514559497628154,0.4476916666666667,-2.227270717190439,4.3640691524675725,-2.227270717190439,0.34122499999999995,0.41072575125296906,0.010233333333333334,0.0,0.45145594912400094,0.10553439644153968,-3.0496933512825866,0.11831088918496127,0.8476833333333335,-13.3606246087417,8.679941396217409,-13.3606246087417,0.08495833333333333,0.10553439435958861,0.35334999999999994,0.0,0.11831088166210595,23.747645887709634,4.505133867263794
8,7,0.35498958333333336,1.6503639357537032,0.1125,3.8170077006022134,0.6415833333333333,0.11166666666666666,True,0.16343468186035653,0.5894127330975607,0.16285931922175223,0.5932513335331653,0.22276429473398213,0.5774494722330321,0.22141581632653062,0.0,0.0,0.2206122448979592,0.0,0.0,0.2217984693877551,0.0,0.0,0.22427295918367346,0.0,0.0,0.7016666531562805,c3148b6f1f303da89d4b352db1b75a7dc0f6a65882f507d1b86a0404067875d0,0.39739794116078614,-1.2126110687173268,0.43104117084514576,0.48406666666666676,-2.3162222753829673,4.943119434820418,-2.3162222753829673,0.3412083333333333,0.39739794084131724,0.02086666666666667,0.0,0.43104117005622555,0.04245898018923397,-4.578696122164533,0.04795960088884962,0.9387083333333334,-22.729816417475753,11.61208887033213,-22.729816417475753,0.03426666666666667,0.04245897835493087,0.6470583333333333,0.0,0.047959555768427344,34.95925490638099,10.284982919692993
8,8,0.28829166666666667,1.8084704815049966,0.10333333333333333,3.3327251466115317,0.5344166666666667,0.10666666666666667,True,0.1605002017759034,0.5323286030519133,0.1636560578147813,0.5259498579349989,0.2187980681701447,0.35800174305525917,0.22426020408163266,0.0,0.0,0.22272959183673469,0.0,0.0,0.2245280612244898,0.0,0.0,0.2264030612244898,0.0,0.0,0.57833331823349,d66d70497f7b4ac640dfca12844b81444aeda70dfcdde35025559170f2913a63,0.4069471509302851,-1.2173442553841094,0.4378967923520309,0.4833416666666668,-2.2753571457920985,5.241746383147741,-2.2753571457920985,0.35406666666666653,0.40694715050409236,0.03054166666666667,0.0,0.4378967913298851,0.032268393823193284,-4.9001211111244665,0.036112934604097764,0.9539833333333333,-27.497236426080622,13.407905565650164,-27.497236426080622,0.02665,0.03226839235723019,0.7355666666666666,0.0,0.03611288359857467,41.694949966655685,6.110187530517578
8,9,0.21232291666666667,2.0203872084716954,0.10083333333333333,3.328246717453003,0.32266666666666666,0.11583333333333333,True,0.14090896345593742,0.5462494323728605,0.13684316604121702,0.5494717504673947,0.21494687220911146,0.298351165256463,0.2264030612244898,0.0,0.0,0.22595663265306123,0.0,0.0,0.2282015306122449,0.0,0.0,0.23329081632653062,0.0,0.0,0.34166666865348816,553547d97bd7135b812b03803318444dd0cf5e97ea8fe8be45d0d8a715c8a208,0.391500229763652,-1.3580309777301103,0.41937532979600606,0.5096333333333333,-2.4271151693568243,5.558835842755879,-2.4271151693568243,0.34356666666666663,0.39150022919029004,0.05078333333333333,0.0,0.4193753283375657,0.013326597331427114,-6.880513365911985,0.014979375400870232,0.9818583333333334,-39.36110455343931,16.67136560346119,-39.36110455343931,0.011341666666666668,0.013326596527298291,0.87715,0.0,0.014978636975459083,55.00718608840553,4.165456295013428
8,10,0.16295833333333334,2.1410718466440835,0.09666666666666666,3.0731954352060953,0.23258333333333334,0.115,True,0.13966734670172323,0.5023060094875594,0.10507207595295161,0.5206542549422011,0.21469655642067662,0.26219005696475506,0.23322704081632653,0.0,0.0,0.23234693877551021,0.0,0.0,0.23478316326530613,0.0004,0.0,0.23661989795918367,0.0363,0.0,0.2608333230018616,597ce0c38131474223bb253d89f0849cff37cb4ad281848596036a107074cac4,0.38320242217766454,-1.3811577883128476,0.4094497832450577,0.5217416666666668,-2.173105795700848,5.761770316410348,-2.173105795700848,0.3391083333333333,0.3832024215767781,0.053033333333333335,0.0,0.40944978178060326,0.005424696231749867,-11.006415564042221,0.006539771403665584,0.9930500000000001,-52.27823461443863,19.311021728464212,-52.27823461443863,0.004875,0.005424695830543835,0.9520583333333335,0.04,0.006399118180115551,67.28857137305316,4.189809560775757
8,11,0.12594791666666666,2.2469974656303724,0.11,2.888083766301473,0.14858333333333335,0.12166666666666667,True,0.10865237585941637,0.5151270242640749,0.0817379821372318,0.44131427828688174,0.21427662769080297,0.2559508978932475,0.23655612244897958,0.0363,0.0,0.235,0.0365,0.0,0.23840561224489795,0.0478,0.0,0.2489923469387755,0.1084,0.0,0.1691666692495346,7de1853fca5aa274ab84219d266c2dead62d95f18a39de661d8e288b60fd2f94,0.3551900303560568,-1.5481295330133333,0.3788747988316402,0.5608249999999999,-2.533909024548876,6.012023642088101,-2.533909024548876,0.3154583333333334,0.35519002953320744,0.071525,0.0,0.37887479682168296,0.0020338750032453824,-15.581957471295068,0.0032024336152954047,0.9974000000000001,-63.87680932589056,21.67532259738657,-63.87680932589056,0.0017666666666666666,0.002033874827623367,0.9797083333333334,0.22,0.0027744691784504848,79.24241474713924,4.238724231719971
