act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,none,0,0.001,0,1,0.9698604167,1,1,0.2300000042,0.2300000042,-0.6914775968,1.508504987,-4.187745094,0.275000006,61.00317402,0.02999999933,0.02999999933,1.697404623,1.405087233,-1.418013573,0.9091666937,33.38404722,3.458267927,2.097678423,3.771656752,0,1.550629916,1.403213428,0.9764948333
R,none,0,0.001,0,2,0.7189479167,0.8475000262,0.8475000262,0.4900000095,0.4900000095,-4.417502403,2.405478954,-8.272072792,0.0008333333535,41.52139017,0,0,-0.003386298893,1.662301779,-1.472970128,0.4916666746,56.68837957,3.758857965,3.159347296,10.0356226,0,4.178712237,3.983777405,3.232673104
R,none,0,0.001,0,3,0.1512854167,0.1708333343,0.1708333343,0.7300000191,0.7300000191,-6.766500473,2.788883686,-11.99987507,0,23.97480776,0,0,-0.7658433318,0.4238166511,-1.66079247,0.02333333343,24.10900721,3.758857965,3.190724611,10.92710018,0,4.662539431,4.469489076,3.67921243
R,none,0,0.001,0,4,0.1226583333,0.1350000054,0.1350000054,0.8600000143,0.8600000143,-7.146599293,2.788883686,-16.26083374,0,10.84228573,0,0,-0.9617275,0.3028727472,-2.150573015,0.009999999776,10.36400099,3.758857965,3.185161829,11.99063683,0,4.915585172,4.723678304,3.916987323
R,none,0,0.001,0,5,0.1105458333,0.1208333299,0.1208333299,0.9300000072,0.9300000072,-7.691786289,2.788883686,-17.57644844,0,5.775086179,0.03999999911,0.03999999911,-0.5664968491,0.1658023149,-2.244484663,0.004166666884,5.507813016,3.758857965,3.196694851,12.07701397,0,5.025647451,4.835064749,4.021475657
R,none,0,0.001,0,6,0.1062979167,0.1150000021,0.1150000021,0.9499999881,0.9499999881,-7.691786289,2.788883686,-17.57644844,0,3.769662083,0.1199999973,0.1199999973,-0.6196559072,0.1465224773,-2.204731941,0.002499999944,4.226442855,3.758857965,3.185764313,12.20567799,0,5.068219958,4.878680392,4.061085656
R,none,0,0.001,0,7,0.1152604167,0.1208333299,0.1208333299,0.9599999785,0.9599999785,-7.691786289,2.788883686,-17.89332771,0,3.474026017,0.09000000358,0.09000000358,-0.8617160916,0.2086285949,-2.016788244,0.002499999944,4.224910877,3.758857965,3.219149828,12.25918007,0,5.098868525,4.911073606,4.088579636
R,none,0,0.001,0,8,0.1019145833,0.1116666645,0.1116666645,0.9800000191,0.9800000191,-7.691786289,2.788883686,-17.89332771,0,1.999830959,0.2399999946,0.2399999946,-0.7370908856,0.117160894,-2.114933491,0.0008333333535,2.77702537,3.758857965,3.203963995,12.10164165,0,5.090260868,4.90379355,4.080658608
R,none,0,0.001,0,9,0.1028625,0.1116666645,0.1116666645,0.9800000191,0.9800000191,-7.691786289,2.788883686,-17.89332771,0,1.975514674,0.2599999905,0.2599999905,-0.9316784739,0.09202016145,-2.297301531,0.0008333333535,2.783699361,3.758857965,3.203963995,11.96611118,0,5.110759034,4.925530299,4.100058486
R,none,0,0.001,0,10,0.105725,0.113333337,0.113333337,0.9900000095,0.9900000095,-7.691786289,2.788883686,-19.6936264,0,1,0.3199999928,0.3199999928,-0.8601161838,0.08186648041,-2.269268274,0.0008333333535,1.9768337,3.758857965,3.203963995,11.99665642,0,5.110670071,4.926159084,4.099924406
R,none,0,0.001,0,11,0.11265625,0.1150000021,0.1150000021,0.9900000095,0.9900000095,-7.691786289,2.788883686,-19.6936264,0,1,0.349999994,0.349999994,-0.7370153666,0.05553782359,-2.267160654,0.0008333333535,1.991699242,3.758857965,3.203963995,12.08342266,0,5.147986654,4.963990757,4.1352801
R,none,0,0.001,0,12,0.1119916667,0.1174999997,0.1174999997,0.9900000095,0.9900000095,-7.691786289,2.788883686,-19.6936264,0,1,0.4099999964,0.4099999964,-0.9028471112,0.04727693275,-2.266209602,0.0008333333535,1.966392429,3.758857965,3.198230505,12.3955164,0,5.194191984,5.010502273,4.178642073
R,none,0,0.001,0,13,0.1215479167,0.1216666698,0.1216666698,0.9900000095,0.9900000095,-7.691786289,2.788883686,-19.6936264,0,1,0.400000006,0.400000006,-0.9027245045,0.05159188434,-2.266409874,0.0008333333535,1.946023727,3.758857965,3.198360443,12.38919544,0,5.190755133,5.007141358,4.175390799
R,none,0,0.001,0,14,0.1143916667,0.1150000021,0.1150000021,1,1,-7.691786289,2.788883686,-19.6936264,0,0,0.9200000167,0.9200000167,-0.8724909425,0,-2.263906717,0,1.000001172,3.758857965,3.196686983,12.40184689,0,5.188279558,5.005285583,4.173087075
R,none,0,0.001,0,15,0.1108333333,0.1108333319,0.1108333319,1,1,-7.691786289,2.788883686,-19.6936264,0,0,0.9499999881,0.9499999881,-0.8724909425,0,-2.263906717,0,1.000000519,3.758857965,3.196686983,12.38322353,0,5.181210162,4.998701457,4.166343758
R,none,0,0.001,0,16,0.1149541667,0.1150000021,0.1150000021,1,1,-7.691786289,2.788883686,-19.6936264,0,0,0.9700000286,0.9700000286,-0.8724909425,0,-2.263906717,0,1.000001984,3.758857965,3.196686983,12.38254738,0,5.179465152,4.99708311,4.164676624
R,none,0,0.001,0,17,0.1174645833,0.1174999997,0.1174999997,1,1,-7.691786289,2.788883686,-19.6936264,0,0,0.9900000095,0.9900000095,-0.8724909425,0,-2.263906717,0,1,3.758857965,3.196686983,12.37914562,0,5.179043636,4.996688108,4.164274476
R,none,0,0.001,0,18,0.1041854167,0.1099999994,0.1099999994,1,1,-7.691786289,2.788883686,-19.6936264,0,0,0.9900000095,0.9900000095,-0.8724909425,0,-2.263906717,0,1,3.758857965,3.196686983,12.37911987,0,5.178664248,4.99637105,4.163930157
R,none,0,0.001,0,19,0.1138,0.1141666695,0.1141666695,1,1,-7.691786289,2.788883686,-19.6936264,0,0,0.9900000095,0.9900000095,-0.8724909425,0,-2.263906717,0,1,3.758857965,3.196686983,12.37929916,0,5.178209104,4.995892264,4.163497155
R,none,0,0.001,0,20,0.1079604167,0.1083333343,0.1083333343,1,1,-7.691786289,2.788883686,-19.6936264,0,0,0.9900000095,0.9900000095,-0.8724909425,0,-2.263906717,0,1,3.758857965,3.196686983,12.37927723,0,5.177815358,4.995555435,4.163140342
R,none,0,0.001,0,21,0.1132770833,0.113333337,0.113333337,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177134277,4.994955097,4.16246638
R,none,0,0.001,0,22,0.1077020833,0.113333337,0.113333337,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177165835,4.995018367,4.162479846
R,none,0,0.001,0,23,0.1215729167,0.1216666698,0.1216666698,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177194788,4.99500428,4.162493944
R,none,0,0.001,0,24,0.1246291667,0.125,0.125,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.17725836,4.995086208,4.162528871
R,none,0,0.001,0,25,0.1154854167,0.1158333346,0.1158333346,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177197864,4.995037862,4.16249552
R,none,0,0.001,0,26,0.1104,0.1108333319,0.1108333319,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177173438,4.995061316,4.162483409
R,none,0,0.001,0,27,0.1138833333,0.1141666695,0.1141666695,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.17718056,4.995025157,4.16248684
R,none,0,0.001,0,28,0.1116666667,0.1116666645,0.1116666645,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177199478,4.995004552,4.162496352
R,none,0,0.001,0,29,0.10829375,0.1099999994,0.1099999994,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177209038,4.995000027,4.162501355
R,none,0,0.001,0,30,0.1190020833,0.1191666648,0.1191666648,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177200738,4.99503532,4.162497004
R,none,0,0.001,0,31,0.1087770833,0.1091666669,0.1091666669,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177197038,4.995070932,4.162495095
R,none,0,0.001,0,32,0.1240333333,0.1241666675,0.1241666675,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177259201,4.995140381,4.162529362
R,none,0,0.001,0,33,0.11705625,0.1174999997,0.1174999997,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177228822,4.995107977,4.162512075
R,none,0,0.001,0,34,0.1155270833,0.1158333346,0.1158333346,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177276949,4.995210524,4.162539856
R,none,0,0.001,0,35,0.1153166667,0.1158333346,0.1158333346,1,1,-7.691786289,2.788883686,-19.6936264,0,0,1,1,-0.8724909425,0,-2.263906717,0,0,3.758857965,3.196686983,12.37925243,0,5.177244252,4.995136063,4.16252074
