seed,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc,state_sha256,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec,hash_match_resp_ee
9,1,0.7999895833333334,0.5972672397324932,0.09833333333333333,2.328160842259725,0.9995,0.1075,True,0.15498264924591845,0.22891563440983492,0.19327450019106132,0.30126365638958913,0.17372363634073432,0.3095717840672781,0.48086734693877553,0.0,0.0,0.20280612244897958,0.0,0.0,0.20280612244897958,0.0,0.0,0.20280612244897958,0.0,0.0,1.0,1dfddb8d2777e7e1957a465863c855e48ab8f235c6540cb577aebedfd42d12cc,0.6155752150865499,-0.49563577994414837,0.761236224058863,0.0317,-0.5601872249537128,1.111751384047035,-0.5601872249537128,0.32463333333333333,0.6155752151017387,0.0,0.0,0.7612362240618752,0.7683431544387206,-0.26716496930936634,0.8581877774231212,0.009875,0.1933350479393366,1.296066942323424,0.1933350479393366,0.55285,0.7683431544398269,0.0,0.0,0.8581877774273536,2.2776958699675216,3.886141061782837,True
9,2,0.7772291666666666,0.6697073616614895,0.085,4.863554604848226,1.0,0.10666666666666667,True,0.11341249093644971,0.4652321484172717,0.16583804182225018,0.8326131396461278,0.15233870359088542,1.1663495388347656,0.20280612244897958,0.0,0.0,0.20280612244897958,0.0,0.0,0.20280612244897958,0.0,0.0,0.2028188775510204,0.0,0.0,1.0,bc7072894e46615905f0a3eff802995c3bc2094e61d730b7011eb34196067e98,0.4032501983893079,-0.990695474863767,0.5241382229807403,0.23819999999999994,-1.5909363529153893,1.8904331733043964,-1.5909363529153893,0.22724166666666673,0.403250198370715,0.0,0.0,0.5241382229107505,0.6646785041384783,-0.46216886766697135,0.752970857055551,0.078675,-0.08957409351089929,1.729840382177381,-0.08957409351089929,0.49057499999999993,0.6646785041093825,0.0,0.0,0.7529708570370781,5.349378961139686,3.7606911659240723,True
9,3,0.7928645833333333,0.6406922482923546,0.10666666666666667,5.409516900380453,0.9783333333333334,0.11416666666666667,True,0.13681806621859022,0.6154995347606018,0.18695691320135666,0.9669032207845399,0.1692724686135989,1.3256723422091454,0.2028188775510204,0.0,0.0,0.2028188775510204,0.0,0.0,0.20285714285714285,0.0,0.0,0.203890306122449,0.0,0.0,1.0,f7d51cdc24e9656ca7f82a5245a6d83476f0305d12292e140d466cf84c3aec01,0.30808414491471703,-1.40297544650322,0.3941506988039612,0.4314249999999999,-2.6639535194818222,2.600988304968815,-2.6639535194818222,0.19083333333333335,0.30808414499113956,0.00023333333333333328,0.0,0.394150699092422,0.488083265686146,-0.8667149275032459,0.5723274548288138,0.241075,-1.1340240835102586,2.294505518240803,-1.1340240835102586,0.34657500000000013,0.4880832656790812,0.0,0.0,0.5723274547974452,7.057530854885182,3.696559429168701,True
9,4,0.7706770833333333,0.6866264703477888,0.10166666666666667,5.040474990208944,1.0,0.11333333333333333,True,0.10523865482552233,0.5007105830979223,0.1336072285218203,0.7264846588562553,0.14194496229568662,1.1615634018865724,0.203890306122449,0.0,0.0,0.20340561224489795,0.0,0.0,0.20378826530612246,0.0,0.0,0.20715561224489795,0.0,0.0,1.0,5edb0a0e2aec86f1b20715d7286cbc6c42516d274cfd4d0e32271e28201efd9d,0.3747530821946939,-1.1853907532984398,0.44229948371754724,0.40335,-2.316345256639396,3.0647613070820436,-2.316345256639396,0.267625,0.3747530821571747,0.0010416666666666667,0.0,0.4422994836128515,0.3503684143478239,-1.2861615991992696,0.40382710475073097,0.4651583333333334,-2.775513785273113,3.7139140074645236,-2.775513785273113,0.2619333333333333,0.35036841431061416,0.003666666666666667,0.0,0.4038271046796881,8.889763351485042,3.6856377124786377,True
9,5,0.7316354166666666,0.7911482340101308,0.10333333333333333,4.687700805664062,1.0,0.1125,True,0.13022680519892066,0.6746679342662295,0.14549242756341604,0.8281909184491573,0.16257797552483075,1.294221078666548,0.20704081632653062,0.0,0.0,0.20612244897959184,0.0,0.0,0.2064158163265306,0.0,0.0,0.2107015306122449,0.0,0.0,1.0,5a2000fc340c9def3c9798ad78adf3f093c21a2b0c26464133f80e21204eb760,0.38419435905387295,-1.144883285595893,0.4385422760738881,0.4332916666666666,-2.271572059640226,3.716654814844333,-2.271572059640226,0.29596666666666666,0.3841943589895964,0.0027999999999999995,0.0,0.4385422758677208,0.19901940613660987,-2.1644099038175484,0.22722203583038345,0.7035416666666667,-6.689432940477064,5.502910660478648,-6.689432940477064,0.15361666666666665,0.19901940521697203,0.07838333333333335,0.0,0.2272220329336925,17.516633938952253,3.7234833240509033,True
9,6,0.64028125,1.0113255185965293,0.10666666666666667,4.851608009338379,0.9900833333333333,0.11583333333333333,True,0.15582033782569243,0.7039869262371212,0.17125903512411847,0.7783484796527773,0.19542375315631944,1.2179094467622538,0.2107015306122449,0.0,0.0,0.20904336734693876,0.0,0.0,0.20980867346938775,0.0,0.0,0.2121938775510204,0.0,0.0,0.996666669845581,aebce8fc677d21c7608b653812ee040ad20ba9a5d3d2ee33fee768068395a351,0.4047838704811233,-1.1451666535023546,0.4492425601767424,0.44119166666666665,-2.1646947143235553,4.254495084139003,-2.1646947143235553,0.32932500000000003,0.4047838703508178,0.008666666666666668,0.0,0.449242559831284,0.1210371916235951,-2.977403739979729,0.13646212587094228,0.8245583333333335,-11.64511883620473,7.823720719003651,-11.64511883620473,0.09661666666666666,0.12103718960583212,0.28355833333333336,0.0,0.13646210616438909,25.67701402831738,3.715221405029297,True
9,7,0.46266666666666667,1.4314435949946442,0.11,4.395562906265258,0.819,0.10833333333333334,True,0.17192560730230372,0.659521835235258,0.18308445427707434,0.72685938309102,0.22421951497502354,1.0227624967228621,0.2119515306122449,0.0,0.0,0.21073979591836733,0.0,0.0,0.21201530612244898,0.0,0.0,0.21375,0.0,0.0,0.8708333373069763,15b7bf26d9d2f250267b73716393c89c621c115d6e47048c7f1da5f87828fe2b,0.45330767844557107,-1.0643845028009593,0.49071026940749723,0.4144083333333334,-1.4905016853122217,4.6960116094369315,-1.4905016853122217,0.38835833333333325,0.4533076782306036,0.014175,0.0,0.4907102688071442,0.06030982343728517,-3.9436763394956205,0.06772078389098486,0.9131916666666666,-19.71923307332513,10.901215631986801,-19.71923307332513,0.04912499999999999,0.06030982143332561,0.5669916666666667,0.0,0.0677207583677856,36.861823890954625,3.7259936332702637,True
9,8,0.302625,1.772680705378453,0.09916666666666667,3.54545680363973,0.5443333333333333,0.1075,True,0.15816181386799144,0.5407865811139345,0.1544697240072613,0.5520999763393774,0.22113998102698437,0.5257339065428823,0.21375,0.0,0.0,0.21302295918367348,0.0,0.0,0.21483418367346938,0.0,0.0,0.2166454081632653,0.0,0.0,0.5883333086967468,f59f9ad60cccbba22f8aa2bba599c7b1c5358c3178010f1673e77a110a1ec602,0.43997684964815226,-1.108495584745487,0.47240925368985004,0.444975,-1.6876224178949855,5.1557561153696305,-1.6876224178949855,0.3833833333333333,0.43997684924105807,0.028108333333333332,0.0,0.472409252699996,0.0279341646490525,-5.324827111427283,0.03129067385549326,0.9604583333333333,-27.648210212877338,13.088306958047676,-27.648210212877338,0.023274999999999997,0.027934163206815722,0.7483000000000001,0.0,0.03129051042760583,46.11145025504526,3.618612051010132,True
9,9,0.19895833333333332,2.0486867196659246,0.09666666666666666,3.2203428332010904,0.33066666666666666,0.11666666666666667,True,0.14180610484739495,0.547136301950862,0.13910443769206418,0.5538726109080017,0.21970922470427467,0.3266497484097878,0.2166454081632653,0.0,0.0,0.21432397959183674,0.0,0.0,0.2168622448979592,0.0,0.0,0.2199107142857143,0.0,0.0,0.3725000023841858,c754a60c4186a91d4f7a8dd32fad60471c35809414c949d91a5932fc173b989b,0.4118576988365462,-1.260252326104028,0.4408725747587215,0.4849583333333334,-2.0062178206542214,5.431788351487387,-2.0062178206542214,0.36229166666666657,0.41185769837001956,0.039650000000000005,0.0,0.44087257359108145,0.012963489237932661,-6.373795492847318,0.014665920684478244,0.9820833333333334,-35.45476362402734,15.196588623753957,-35.45476362402734,0.010941666666666667,0.012963488227625688,0.8624999999999998,0.0,0.014665166925939603,55.54151951997941,3.641948699951172,True
9,10,0.14916666666666667,2.1751281023025513,0.11,3.058693428039551,0.22908333333333333,0.10666666666666667,True,0.12995677141119205,0.5467466220337277,0.1045459094199638,0.54869090624076,0.21636414113891078,0.2818245809370031,0.2199107142857143,0.0,0.0,0.21869897959183673,0.0,0.0,0.2216454081632653,0.0002,0.0,0.22625,0.011,0.0,0.2708333432674408,218d50b1cbf79ba367b3ed2ba07ceb4892ad9cfcd74300fa2db562ddc05d63d7,0.39928997627623575,-1.4021852930111331,0.42526026308858195,0.5074166666666667,-2.0981106522794817,5.720471714209433,-2.0981106522794817,0.35574166666666657,0.3992899756560724,0.057541666666666665,0.0,0.42526026149871915,0.005669713852115796,-10.008601119024604,0.007100989722322699,0.9920833333333334,-47.6335737970509,18.039320935913366,-47.6335737970509,0.004783333333333333,0.005669713381926218,0.9361583333333334,0.02,0.0069958362239891944,68.61978982253169,3.622370958328247,True
