step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
0,B_w100_K10000_c0.0_lr0.01_cbp1e-5_s0,0,0,0,70.7719,27.2199,0.174438,0.500317,0,1.30318,74.6454,0.0174582,20.4394,0.0895067,0,1.76192
0,B_w100_K10000_c0.0_lr0.01_cbp1e-5_s1,0,0,0,71.0859,27.2094,0.176655,0.501174,0,0.640242,45.668,0.0140195,20.4034,0.087695,0,0.917667
0,B_w100_K10000_c0.0_lr0.01_cbp1e-5_s2,0,0,0,71.028,27.4517,0.174303,0.498865,0,3.10875,180.52,0.017221,20.4293,0.0873805,0,3.42817
0,B_w100_K10000_c0.0_lr0.01_cbp1e-5_s3,0,0,0,70.9317,27.1474,0.17668,0.497258,0,0.659817,42.5595,0.0155034,20.4421,0.0967057,0,0.991772
0,B_w100_K10000_c0.0_lr0.01_cbp1e-5_s4,0,0,0,71.098,27.5994,0.175781,0.500144,0,2.54581,152.93,0.0166469,20.4577,0.0920292,0,2.8956
0,B_w100_K10000_c2.0_lr0.01_cbp1e-5_s0,0,0,0,65.8993,23.6189,0.176438,0.498105,0.00020202,1.08318,46.2626,0.0234138,20.4206,0.0963987,0,0.925406
0,B_w100_K10000_c2.0_lr0.01_cbp1e-5_s1,0,0,0,66.4736,24.5641,0.174403,0.500394,0,2.3416,80.2964,0.0291619,20.5057,0.0902835,0,1.52549
0,B_w100_K10000_c2.0_lr0.01_cbp1e-5_s2,0,0,0,65.4007,24.0217,0.173749,0.500721,0,2.5747,110.206,0.0233627,20.4764,0.0884936,0,1.8426
0,B_w100_K10000_c2.0_lr0.01_cbp1e-5_s3,0,0,0,64.7464,23.9469,0.175109,0.498682,0,3.49736,76.3345,0.0458163,20.4024,0.089911,0,1.31249
0,B_w100_K10000_c2.0_lr0.01_cbp1e-5_s4,0,0,0,66.8656,24.4555,0.175992,0.500327,0,44.9816,484.834,0.0927774,20.3951,0.0904126,0,8.11476
