step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
0,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.4232,12.9327,0.174698,0.502005,0,1.55348,84.9325,0.0182907,15.8563,0.159831,6.25659,6.25659,0,1.67805,-0.000256584,nan,0.00075838,-0.00212693,-0.000167138,-0.00100681,-0.00149265,0.4895,0.501325,nan,nan,0,nan
0,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.5817,13.4205,0.165671,0.496742,0,1.68288,103.141,0.0163163,16.2696,0.164397,6.08285,6.08285,0,1.69342,-0.00119295,nan,0.00627301,-0.0163137,-0.000944214,-0.00589069,-0.0118216,0.4845,0.498075,nan,nan,0,nan
0,B_w20_K10000_c0.0_lr0.01_s2,0,0,0,17.1709,12.379,0.182643,0.500752,0,1.29068,66.7185,0.0193452,15.9618,0.173281,5.77098,5.77098,0,1.34445,0.000191036,nan,0.0025242,-0.00529267,3.31277e-05,-0.00250699,-0.00420168,0.487,0.50135,nan,nan,0,nan
0,B_w20_K10000_c0.0_lr0.01_s3,0,0,0,17.3635,12.3043,0.184629,0.492481,0,1.3122,79.1647,0.0165756,15.9097,0.192685,5.18981,5.18981,0,1.74823,-0.000676492,nan,0.00864243,-0.0162863,-0.000504559,-0.00987567,-0.0139177,0.4795,0.50195,nan,nan,0,nan
0,B_w20_K10000_c0.0_lr0.01_s4,0,0,0,17.362,13.1079,0.17157,0.518546,0,1.41029,91.6503,0.0153878,16.4536,0.159739,6.26022,6.26022,0,2.8388,1.88821e-05,nan,0.00012173,-0.000210775,1.05341e-05,-8.13019e-05,-0.000166888,0.4845,0.499725,nan,nan,0,nan
1000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.483,12.9256,0.177988,0.500752,0,0.0264452,3.58632,0.00737391,15.8714,0.171384,5.83484,5.83484,0,0.255918,-0.029242,nan,0.0314182,-0.07189,-0.0221756,-0.0452839,-0.0584588,0.4705,0.4924,nan,nan,0,nan
1000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.6991,13.7003,0.164879,0.496742,0,0.0247081,4.52777,0.00545702,16.2408,0.16204,6.17131,6.17131,0,0.257417,-0.0414738,nan,0.035992,-0.0864803,-0.029665,-0.0555477,-0.0602478,0.4695,0.4874,nan,nan,0,nan
1000,B_w20_K10000_c0.0_lr0.01_s2,0,0,0,17.3194,12.5348,0.185124,0.493484,0,0.0154688,2.78436,0.00555561,15.8956,0.172584,5.79429,5.79429,0,0.173635,-0.0173778,nan,0.0612675,-0.0603889,-0.0101894,-0.0394624,-0.0451389,0.4755,0.49685,nan,nan,0,nan
1000,B_w20_K10000_c0.0_lr0.01_s3,0,0,0,17.4254,12.5339,0.182507,0.498747,0,0.0278384,6.30199,0.0044174,15.976,0.188109,5.31606,5.31606,0,0.265308,-0.0244336,nan,0.0513649,-0.0908505,-0.0188026,-0.0561125,-0.0723362,0.4655,0.4957,nan,nan,0,nan
1000,B_w20_K10000_c0.0_lr0.01_s4,0,0,0,17.4985,13.0884,0.171846,0.505764,0,0.0612243,8.43113,0.00726169,16.2967,0.152359,6.56343,6.56343,0,0.313039,-0.0181472,nan,0.0672452,-0.0743772,-0.0138816,-0.052791,-0.057148,0.4635,0.49385,nan,nan,0,nan
