arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LL,std,0,0,0.001,1,none,0.9822583333,1,1,0,0,-1.956481934,16.8210907,-8.773367882,0.4937501252,72.03502524,0,0,-7.564565659,13.2348814,-16.43795776,0.3617500961,76.07417549,3.653212309,0.9934191704,1.275191903
LL,std,0,0,0.001,2,none,0.9786354167,1,1,0,0,-3.287904978,24.37611008,-10.1079607,0.4937501252,73.89307598,0,0,-23.99666595,21.85112953,-33.94071198,0.1974999756,78.80399888,5.596037388,1.273625255,1.330919743
LL,std,0,0,0.001,3,none,0.9805916667,1,1,0,0,-3.552508116,28.03523827,-14.1614151,0.4930000901,75.74126168,0,0,-30.40924835,25.35634422,-46.34215164,0.1839999706,78.06071903,6.69399786,1.447059393,1.255162954
LL,std,0,0,0.001,4,none,0.9792916667,1,1,0,0,-3.845166445,31.35827637,-13.28767586,0.4900000989,76.25747446,0,0,-39.6401329,30.46107864,-57.89228058,0.1674999595,79.32458829,7.785070419,1.597467184,1.187511444
LL,std,0,0,0.001,5,none,0.9797666667,1,1,0,0,-5.882676601,33.57340622,-14.46669006,0.4862501025,76.95644344,0,0,-41.3193512,35.03774261,-69.33892059,0.1779999584,81.42042055,8.667094231,1.744958997,1.160360456
LL,std,0,0,0.001,6,none,0.9786479167,1,1,0,0,-6.550896168,38.13206482,-16.54175186,0.4765001535,76.16673467,0,0,-51.27745056,41.40426636,-78.57474518,0.1674999595,80.99223517,9.545151711,1.857880831,1.083199501
LL,std,0,0,0.001,7,none,0.97990625,1,1,0,0,-7.372269154,40.36713409,-20.56487465,0.4787501097,76.45121221,0,0,-60.010849,47.9245491,-93.19242096,0.1689999402,82.85890449,10.38225079,2.016500711,1.106880188
LL,std,0,0,0.001,8,none,0.97805,1,1,0,0,-8.579504967,44.28155518,-19.96703148,0.4742500782,76.71220873,0,0,-67.6693573,53.52345657,-96.88864899,0.1667499542,82.21434049,11.20780277,2.155777693,1.092298865
LL,std,0,0,0.001,9,none,0.97636875,1,1,0,0,-7.756547928,44.53062439,-22.04783249,0.4757501483,76.8676025,0,0,-76.67218781,57.58044815,-128.0593567,0.155499965,81.96254387,11.96280098,2.253642559,1.074107051
LL,std,0,0,0.001,10,none,0.9754729167,1,1,0,0,-9.191904068,48.89585876,-20.36829567,0.4720001221,76.37362661,0,0,-81.366745,63.80340195,-123.9727631,0.1562499553,82.51688582,12.68592262,2.371052742,1.035592675
LL,std,0,0,0.001,11,none,0.97505625,1,1,0,0,-8.908829689,48.6550293,-23.7473011,0.477250129,77.98165245,0,0,-85.14179993,65.57117462,-112.9996414,0.1599999517,83.19885006,13.27148056,2.454938889,1.018384933
LL,std,0,0,0.001,12,none,0.97369375,1,1,0,0,-8.979879379,48.76720428,-20.23025513,0.4712501168,78.38947164,0,0,-85.92428589,68.15984344,-127.2705917,0.1622499675,84.8578402,13.91342449,2.521968603,1.017597795
LL,std,0,0,0.001,13,none,0.97654375,1,1,0,0,-9.309742928,51.53509903,-25.3276844,0.4817501009,78.38769805,0,0,-95.25346375,72.05753326,-130.0096436,0.1599999666,83.98782776,14.45822239,2.610824823,1.01682806
