arm,mode,seed,task,step,global_step,window_start,window_steps,loss,acc,advantage,confidence,online_acc_window,initial_positive_count,observed,down,up,net,conf,hist,label,correction,roundoff,conf_common,correction_common,zmean_l1,zsd_l1,outputsd_l1,gain_l1,ppos_l1,dead_l1,output_sd_ratio_l1,output_sd_ratio_n_l1,eff_rank_l1,zmean_l2,zsd_l2,outputsd_l2,gain_l2,ppos_l2,dead_l2,output_sd_ratio_l2,output_sd_ratio_n_l2,eff_rank_l2
GELU,base,1001,1,0,0,0,0,2.305902719,0.1041666716,0.00020373812,2.306106329,nan,3285,True,0,0,0,0,0,0,0,0,0,0,0.002915133024,0.1344939023,0.06089473143,0.2616454661,0.5099416375,0,1,100,45.86459634,-0.01849657483,0.04413155466,0.02125151083,0.2365890592,0.4513416886,0,1,100,33.20865229
GELU,base,1002,1,0,0,0,0,2.304571629,0.1066666692,0.000728794781,2.305300236,nan,2812,True,0,0,0,0,0,0,0,0,0,0,-0.07532576472,0.1381797642,0.0591849573,0.2023198158,0.4403500259,0,1,100,48.39164219,0.01374928188,0.04124571756,0.02009401284,0.2627799213,0.5266416669,0,1,100,33.43300904
GELU,base,1003,1,0,0,0,0,2.305973291,0.09333333373,0.0003579650365,2.306331158,nan,3529,True,0,0,0,0,0,0,0,0,0,0,0.06789471209,0.1295589507,0.0648816973,0.3144934177,0.5523416996,0,1,100,45.52494093,-0.008257067762,0.04578244314,0.02172829211,0.2444883287,0.4873333275,0,1,100,32.27455407
GELU,base,1004,1,0,0,0,0,2.306032658,0.1000000015,-0.0008776980685,2.305155039,nan,2895,True,0,0,0,0,0,0,0,0,0,0,-0.02965964749,0.1370248497,0.05953515321,0.2365600616,0.4538916647,0,1,100,45.44798401,-0.01915803365,0.04072289914,0.01942965761,0.2360880822,0.4380583465,0,1,100,34.01702047
GELU,base,1005,1,0,0,0,0,2.303351164,0.09666667134,0.0001937807683,2.303544998,nan,3581,True,0,0,0,0,0,0,0,0,0,0,0.02931751311,0.1314351708,0.06600110978,0.2797849476,0.5594667196,0,1,100,45.15177431,-0.02501003072,0.04506028071,0.0218400415,0.2318252325,0.4148666561,0,1,100,34.06479805
GELU,base,1001,1,1,1,0,1,2.3393085,0.1083333343,0.008039932698,2.347348213,0,3285,True,4.439970493,3.962167025,-0.4778035879,-3.547302485,0,3.069499254,0,-2.384185791e-07,-0.1749902666,0,0.2829231322,0.3544127941,0.1156843081,0.5235770941,0.5136500001,0,1.70196116,100,,-0.02737205289,0.1066472009,0.03628736734,0.2307101488,0.4979166687,0,1.74379158,100,
GELU,base,1002,1,1,1,0,1,2.417266369,0.09083333611,-0.01057544164,2.406690836,0.0625,2812,True,4.228478432,4.618606567,0.3901282549,1.544104934,0,-1.153977036,0,3.576278687e-07,0.09843427688,0,0.2022738457,0.3586467803,0.1189298555,0.440266341,0.5551916957,0,2.392946243,100,,0.09313321859,0.1414355934,0.0427329652,0.3315278292,0.5518583655,0,2.071442366,100,
GELU,base,1003,1,1,1,0,1,2.329663515,0.09916666895,-0.002803647891,2.326859951,0,3529,True,4.570391655,3.969199419,-0.6011918783,0.8835333586,0,-1.48472476,0,-4.768371582e-07,0.2410235107,0,0.02906236798,0.3165075779,0.06994565576,0.2842196524,0.5094999671,0,1.319578409,100,,-0.1167623028,0.1106849462,0.03083359823,0.1719693244,0.4263499975,0,1.399418235,100,
GELU,base,1004,1,1,1,0,1,2.333859205,0.09166666865,-0.004311045166,2.32954812,0.0625,2895,True,4.535420418,2.978330851,-1.557089567,2.507842541,0,-4.064931393,0,-4.768371582e-07,0.3447196186,0,-0.1197205856,0.326074034,0.06785430759,0.1863567531,0.482883364,0,1.591642976,100,,0.02691523917,0.107671991,0.03536172584,0.274621278,0.5210916996,0,1.939373493,100,
GELU,base,1005,1,1,1,0,1,2.369132042,0.100833334,-0.003075360088,2.366056919,0,3581,True,3.747410536,5.3598423,1.612432003,0.02860365622,0,1.583828211,0,1.192092896e-07,-0.008338780142,0,0.4347251356,0.3535104096,0.1857915223,0.6756990552,0.5582000017,0,2.765535593,100,,0.07967441529,0.1430604607,0.04354898259,0.3201460838,0.5305333138,0,1.910247445,100,
