run_id,ckpt,neuron,w_norm,snr_i,cos_intra,cos_inter,E_adelta,sign_v,cov_norm,cov_proj
B_w100_K10000_c0.0_lr0.01_b128_s0,0,0,1.4546635150909424,0.08047587424516678,0.0,0.08435246348381042,-0.12086591124534607,-1.0,0.3421960175037384,-0.02844300866127014
B_w100_K10000_c0.0_lr0.01_b128_s0,0,1,1.5500693321228027,0.07786014676094055,0.0,0.08842378854751587,-0.2091923952102661,-1.0,0.32437604665756226,-0.027918875217437744
B_w100_K10000_c0.0_lr0.01_b128_s0,0,2,1.295782208442688,0.07535896450281143,0.0,0.028058692812919617,0.0338682159781456,-1.0,0.31480923295021057,-0.009078706614673138
B_w100_K10000_c0.0_lr0.01_b128_s0,0,3,1.3636856079101562,0.07804439961910248,0.0,-0.039408739656209946,0.0701599046587944,1.0,0.3290519416332245,-0.013376710936427116
B_w100_K10000_c0.0_lr0.01_b128_s0,0,4,1.488019347190857,0.08178246766328812,0.0,-0.01828850992023945,0.12124847620725632,1.0,0.3472416400909424,-0.006752432323992252
B_w100_K10000_c0.0_lr0.01_b128_s0,0,5,1.3940606117248535,0.07817182689905167,0.0,0.036881837993860245,-0.05120643228292465,-1.0,0.3317224383354187,-0.012036481872200966
B_w100_K10000_c0.0_lr0.01_b128_s0,0,6,1.4259968996047974,0.07773206382989883,0.0,0.09750345349311829,-0.0768982395529747,-1.0,0.3274024426937103,-0.031628869473934174
B_w100_K10000_c0.0_lr0.01_b128_s0,0,7,1.4494707584381104,0.07589970529079437,0.0,-0.023119326680898666,0.12529252469539642,1.0,0.3207046687602997,-0.007983973249793053
B_w100_K10000_c0.0_lr0.01_b128_s0,0,8,1.4618420600891113,0.079600989818573,0.0,-0.0652458518743515,0.016352219507098198,1.0,0.33938300609588623,-0.022140365093946457
B_w100_K10000_c0.0_lr0.01_b128_s0,0,9,1.2915090322494507,0.07756327092647552,0.0,-0.06877006590366364,-0.11583736538887024,1.0,0.33229440450668335,-0.022087160497903824
B_w100_K10000_c0.0_lr0.01_b128_s0,0,10,1.2702512741088867,0.07761956006288528,0.0,0.05904506891965866,-0.1708684116601944,-1.0,0.32115378975868225,-0.018148528411984444
B_w100_K10000_c0.0_lr0.01_b128_s0,0,11,1.3448599576950073,0.08140735328197479,0.0,-0.0928090363740921,-0.13754528760910034,1.0,0.3456151783466339,-0.03142603486776352
B_w100_K10000_c0.0_lr0.01_b128_s0,0,12,1.1593469381332397,0.07306288927793503,0.0,-0.04604833573102951,0.07701185345649719,1.0,0.30546608567237854,-0.014500448480248451
B_w100_K10000_c0.0_lr0.01_b128_s0,0,13,1.1829591989517212,0.07910634577274323,0.0,0.07001402229070663,-0.042437128722667694,-1.0,0.32903599739074707,-0.022872816771268845
B_w100_K10000_c0.0_lr0.01_b128_s0,0,14,1.4173736572265625,0.08154463768005371,0.0,0.03348707780241966,0.06502169370651245,-1.0,0.3430185317993164,-0.011839047074317932
B_w100_K10000_c0.0_lr0.01_b128_s0,0,15,1.366529107093811,0.07939913868904114,0.0,-0.09372391551733017,0.11344470828771591,1.0,0.3360980153083801,-0.03186243772506714
B_w100_K10000_c0.0_lr0.01_b128_s0,0,16,1.4489233493804932,0.07711713016033173,0.0,-0.0407915860414505,0.23084524273872375,1.0,0.3262921869754791,-0.014349893666803837
B_w100_K10000_c0.0_lr0.01_b128_s0,0,17,1.5703662633895874,0.08165350556373596,0.0,-0.06734096258878708,-0.006029111333191395,1.0,0.348585307598114,-0.023463645949959755
B_w100_K10000_c0.0_lr0.01_b128_s0,0,18,1.517829418182373,0.07577051222324371,0.0,-0.037783607840538025,0.21225592494010925,1.0,0.31315264105796814,-0.012781722471117973
B_w100_K10000_c0.0_lr0.01_b128_s0,0,19,1.214938998222351,0.073741614818573,0.0,-0.049142252653837204,0.03914858028292656,1.0,0.3074733018875122,-0.015175111591815948
B_w100_K10000_c0.0_lr0.01_b128_s0,0,20,1.348097562789917,0.07943558692932129,0.0,-0.0532902367413044,0.10388127714395523,1.0,0.33520764112472534,-0.01831478625535965
B_w100_K10000_c0.0_lr0.01_b128_s0,0,21,1.5109686851501465,0.08029486984014511,0.0,-0.08815955370664597,0.08926445245742798,1.0,0.33978310227394104,-0.030220117419958115
B_w100_K10000_c0.0_lr0.01_b128_s0,0,22,1.5328612327575684,0.07711564749479294,0.0,0.12470421940088272,-0.1517479419708252,-1.0,0.3263612389564514,-0.04006452113389969
B_w100_K10000_c0.0_lr0.01_b128_s0,0,23,1.3856663703918457,0.08018124103546143,0.0,-0.12041910737752914,-0.057522453367710114,1.0,0.3438487648963928,-0.04109363630414009
B_w100_K10000_c0.0_lr0.01_b128_s0,0,24,1.359415054321289,0.07901769876480103,0.0,0.038944777101278305,0.06408911943435669,-1.0,0.3306248188018799,-0.013249987736344337
B_w100_K10000_c0.0_lr0.01_b128_s0,0,25,1.5982568264007568,0.08039520680904388,0.0,0.1354064792394638,-0.14745686948299408,-1.0,0.3380972146987915,-0.04531334713101387
B_w100_K10000_c0.0_lr0.01_b128_s0,0,26,1.3966459035873413,0.07885885238647461,0.0,-0.05439741164445877,0.06725368648767471,1.0,0.3336884379386902,-0.01844148337841034
B_w100_K10000_c0.0_lr0.01_b128_s0,0,27,1.4662402868270874,0.08084981143474579,0.0,0.06119690090417862,-0.08626008778810501,-1.0,0.3458113670349121,-0.02081609144806862
B_w100_K10000_c0.0_lr0.01_b128_s0,0,28,1.7116926908493042,0.07564852386713028,0.0,0.06587503850460052,-0.07137080281972885,-1.0,0.3167422413825989,-0.020665351301431656
B_w100_K10000_c0.0_lr0.01_b128_s0,0,29,1.3722190856933594,0.07786554098129272,0.0,0.09405408054590225,-0.15090826153755188,-1.0,0.323598712682724,-0.029790231958031654
B_w100_K10000_c0.0_lr0.01_b128_s0,0,30,1.2965999841690063,0.07509726285934448,0.0,-0.08815130591392517,-0.008998806588351727,1.0,0.30866655707359314,-0.02710578218102455
B_w100_K10000_c0.0_lr0.01_b128_s0,0,31,1.519333004951477,0.07517825067043304,0.0,-0.0692366436123848,0.06796301901340485,1.0,0.31464865803718567,-0.021947894245386124
B_w100_K10000_c0.0_lr0.01_b128_s0,0,32,1.5213265419006348,0.07451210916042328,0.0,0.04491201415657997,-0.06623876094818115,-1.0,0.3113881051540375,-0.013685987330973148
B_w100_K10000_c0.0_lr0.01_b128_s0,0,33,1.1949347257614136,0.07629316300153732,0.0,-0.05016152933239937,0.049256786704063416,1.0,0.32260948419570923,-0.016398275271058083
