exp,width,period,enc,c,kappa,lr,batch,seed,run_id
A,5,10000,std,,1,0.01,1,0,A_w5_T10000_std_lr0.01_s0
A,5,10000,std,,1,0.01,1,1,A_w5_T10000_std_lr0.01_s1
A,5,10000,std,,1,0.01,1,2,A_w5_T10000_std_lr0.01_s2
A,5,10000,std,,1,0.01,1,3,A_w5_T10000_std_lr0.01_s3
A,5,10000,std,,1,0.01,1,4,A_w5_T10000_std_lr0.01_s4
A,5,10000,std,,1,0.01,32,0,A_w5_T10000_std_lr0.01_b32_s0
A,5,10000,std,,1,0.01,32,1,A_w5_T10000_std_lr0.01_b32_s1
A,5,10000,std,,1,0.01,32,2,A_w5_T10000_std_lr0.01_b32_s2
A,5,10000,std,,1,0.01,32,3,A_w5_T10000_std_lr0.01_b32_s3
A,5,10000,std,,1,0.01,32,4,A_w5_T10000_std_lr0.01_b32_s4
A,5,10000,std,,1,0.01,128,0,A_w5_T10000_std_lr0.01_b128_s0
A,5,10000,std,,1,0.01,128,1,A_w5_T10000_std_lr0.01_b128_s1
A,5,10000,std,,1,0.01,128,2,A_w5_T10000_std_lr0.01_b128_s2
A,5,10000,std,,1,0.01,128,3,A_w5_T10000_std_lr0.01_b128_s3
A,5,10000,std,,1,0.01,128,4,A_w5_T10000_std_lr0.01_b128_s4
A,5,10000,std,,1,0.01,full,0,A_w5_T10000_std_lr0.01_bfull_s0
A,5,10000,std,,1,0.01,full,1,A_w5_T10000_std_lr0.01_bfull_s1
A,5,10000,std,,1,0.01,full,2,A_w5_T10000_std_lr0.01_bfull_s2
A,5,10000,std,,1,0.01,full,3,A_w5_T10000_std_lr0.01_bfull_s3
A,5,10000,std,,1,0.01,full,4,A_w5_T10000_std_lr0.01_bfull_s4
A,100,10000,std,,1,0.01,1,0,A_w100_T10000_std_lr0.01_s0
A,100,10000,std,,1,0.01,1,1,A_w100_T10000_std_lr0.01_s1
A,100,10000,std,,1,0.01,1,2,A_w100_T10000_std_lr0.01_s2
A,100,10000,std,,1,0.01,1,3,A_w100_T10000_std_lr0.01_s3
