run_id,ckpt,M,n_periods,noise_floor,snr_all,snr_W,snr_b,snr_v,snr_c
B_w5_K10000_c0.0_lr0.01_s0,0,500000,50.0,0.001414213445968926,0.12460477650165558,0.07905136793851852,0.1776050627231598,0.18775096535682678,0.08374591916799545
B_w5_K10000_c0.0_lr0.01_s1,0,500000,50.0,0.001414213445968926,0.18003453314304352,0.09759491682052612,0.2736233174800873,0.27403756976127625,0.2573595643043518
B_w5_K10000_c0.0_lr0.01_s2,0,500000,50.0,0.001414213445968926,0.2357940673828125,0.11259520798921585,0.4032415747642517,0.36629652976989746,0.4657335579395294
B_w5_K10000_c0.0_lr0.01_s3,0,500000,50.0,0.001414213445968926,0.2545923590660095,0.11005602031946182,0.46420028805732727,0.3386732041835785,0.5331252217292786
B_w5_K10000_c0.0_lr0.01_s4,0,500000,50.0,0.001414213445968926,0.22245709598064423,0.10100492835044861,0.41147470474243164,0.31575560569763184,0.4443785548210144
B_w5_K10000_c2.0_lr0.01_s0,0,500000,50.0,0.001414213445968926,0.40462905168533325,0.27274852991104126,0.7179001569747925,0.5031338334083557,0.9118396639823914
B_w5_K10000_c2.0_lr0.01_s1,0,500000,50.0,0.001414213445968926,0.4036349952220917,0.2726118564605713,0.621643602848053,0.5432319045066833,0.6300526857376099
B_w5_K10000_c2.0_lr0.01_s2,0,500000,50.0,0.001414213445968926,0.3938429653644562,0.2773277759552002,0.7169619202613831,0.5392778515815735,1.0932817459106445
B_w5_K10000_c2.0_lr0.01_s3,0,500000,50.0,0.001414213445968926,0.4197465181350708,0.25024694204330444,0.5936307311058044,0.518426775932312,0.6972528100013733
B_w5_K10000_c2.0_lr0.01_s4,0,500000,50.0,0.001414213445968926,0.17632336914539337,0.13701510429382324,0.18866711854934692,0.26011788845062256,0.18833862245082855
B_w5_K10000_c0.0_lr0.01_s0,10000,500000,50.0,0.001414213445968926,0.2957324683666229,0.10412178188562393,0.47683873772621155,0.3604890704154968,0.5239075422286987
B_w5_K10000_c0.0_lr0.01_s1,10000,500000,50.0,0.001414213445968926,0.12981116771697998,0.06128457933664322,0.1258143186569214,0.16869454085826874,0.12444517016410828
