arm,age,dtype,time,param,equal
LR_a0p1_q0,5000000,float64,200,b,True
LR_a0p1_q0,5000000,float64,200,v,True
LR_a0p1_q0,5000000,float64,200,cout,True
LR_a0p1_q0,5000000,float64,500,W,True
LR_a0p1_q0,5000000,float64,500,b,True
LR_a0p1_q0,5000000,float64,500,v,True
LR_a0p1_q0,5000000,float64,500,cout,True
LR_a0p1_q0,5000000,float64,1000,W,True
LR_a0p1_q0,5000000,float64,1000,b,True
LR_a0p1_q0,5000000,float64,1000,v,True
LR_a0p1_q0,5000000,float64,1000,cout,True
LR_a0p1_q0,5000000,float64,2000,W,True
LR_a0p1_q0,5000000,float64,2000,b,True
LR_a0p1_q0,5000000,float64,2000,v,True
LR_a0p1_q0,5000000,float64,2000,cout,True
LR_a0p1_q0,5000000,float64,5000,W,True
LR_a0p1_q0,5000000,float64,5000,b,True
LR_a0p1_q0,5000000,float64,5000,v,True
LR_a0p1_q0,5000000,float64,5000,cout,True
LR_a0p1_q0,5000000,float64,10000,W,True
LR_a0p1_q0,5000000,float64,10000,b,True
LR_a0p1_q0,5000000,float64,10000,v,True
LR_a0p1_q0,5000000,float64,10000,cout,True
LR_a0p1_q0,5000000,float32,1,W,True
LR_a0p1_q0,5000000,float32,1,b,True
LR_a0p1_q0,5000000,float32,1,v,True
LR_a0p1_q0,5000000,float32,1,cout,True
LR_a0p1_q0,5000000,float32,2,W,True
LR_a0p1_q0,5000000,float32,2,b,True
LR_a0p1_q0,5000000,float32,2,v,True
LR_a0p1_q0,5000000,float32,2,cout,True
LR_a0p1_q0,5000000,float32,5,W,True
LR_a0p1_q0,5000000,float32,5,b,True
LR_a0p1_q0,5000000,float32,5,v,True
LR_a0p1_q0,5000000,float32,5,cout,True
LR_a0p1_q0,5000000,float32,10,W,True
LR_a0p1_q0,5000000,float32,10,b,True
LR_a0p1_q0,5000000,float32,10,v,True
LR_a0p1_q0,5000000,float32,10,cout,True
LR_a0p1_q0,5000000,float32,20,W,True
LR_a0p1_q0,5000000,float32,20,b,True
LR_a0p1_q0,5000000,float32,20,v,True
LR_a0p1_q0,5000000,float32,20,cout,True
LR_a0p1_q0,5000000,float32,50,W,True
LR_a0p1_q0,5000000,float32,50,b,True
LR_a0p1_q0,5000000,float32,50,v,True
LR_a0p1_q0,5000000,float32,50,cout,True
LR_a0p1_q0,5000000,float32,100,W,True
LR_a0p1_q0,5000000,float32,100,b,True
LR_a0p1_q0,5000000,float32,100,v,True
LR_a0p1_q0,5000000,float32,100,cout,True
LR_a0p1_q0,5000000,float32,200,W,True
LR_a0p1_q0,5000000,float32,200,b,True
LR_a0p1_q0,5000000,float32,200,v,True
LR_a0p1_q0,5000000,float32,200,cout,True
LR_a0p1_q0,5000000,float32,500,W,True
LR_a0p1_q0,5000000,float32,500,b,True
LR_a0p1_q0,5000000,float32,500,v,True
LR_a0p1_q0,5000000,float32,500,cout,True
LR_a0p1_q0,5000000,float32,1000,W,True
LR_a0p1_q0,5000000,float32,1000,b,True
LR_a0p1_q0,5000000,float32,1000,v,True
LR_a0p1_q0,5000000,float32,1000,cout,True
LR_a0p1_q0,5000000,float32,2000,W,True
LR_a0p1_q0,5000000,float32,2000,b,True
LR_a0p1_q0,5000000,float32,2000,v,True
LR_a0p1_q0,5000000,float32,2000,cout,True
LR_a0p1_q0,5000000,float32,5000,W,True
LR_a0p1_q0,5000000,float32,5000,b,True
LR_a0p1_q0,5000000,float32,5000,v,True
LR_a0p1_q0,5000000,float32,5000,cout,True
LR_a0p1_q0,5000000,float32,10000,W,True
LR_a0p1_q0,5000000,float32,10000,b,True
LR_a0p1_q0,5000000,float32,10000,v,True
LR_a0p1_q0,5000000,float32,10000,cout,True
LR_a0p7_q0,200000,float64,1,W,True
LR_a0p7_q0,200000,float64,1,b,True
LR_a0p7_q0,200000,float64,1,v,True
LR_a0p7_q0,200000,float64,1,cout,True
LR_a0p7_q0,200000,float64,2,W,True
LR_a0p7_q0,200000,float64,2,b,True
LR_a0p7_q0,200000,float64,2,v,True
LR_a0p7_q0,200000,float64,2,cout,True
LR_a0p7_q0,200000,float64,5,W,True
LR_a0p7_q0,200000,float64,5,b,True
LR_a0p7_q0,200000,float64,5,v,True
LR_a0p7_q0,200000,float64,5,cout,True
LR_a0p7_q0,200000,float64,10,W,True
LR_a0p7_q0,200000,float64,10,b,True
LR_a0p7_q0,200000,float64,10,v,True
LR_a0p7_q0,200000,float64,10,cout,True
LR_a0p7_q0,200000,float64,20,W,True
LR_a0p7_q0,200000,float64,20,b,True
LR_a0p7_q0,200000,float64,20,v,True
LR_a0p7_q0,200000,float64,20,cout,True
LR_a0p7_q0,200000,float64,50,W,True
LR_a0p7_q0,200000,float64,50,b,True
LR_a0p7_q0,200000,float64,50,v,True
LR_a0p7_q0,200000,float64,50,cout,True
LR_a0p7_q0,200000,float64,100,W,True
LR_a0p7_q0,200000,float64,100,b,True
LR_a0p7_q0,200000,float64,100,v,True
LR_a0p7_q0,200000,float64,100,cout,True
LR_a0p7_q0,200000,float64,200,W,True
LR_a0p7_q0,200000,float64,200,b,True
LR_a0p7_q0,200000,float64,200,v,True
LR_a0p7_q0,200000,float64,200,cout,True
LR_a0p7_q0,200000,float64,500,W,True
LR_a0p7_q0,200000,float64,500,b,True
LR_a0p7_q0,200000,float64,500,v,True
LR_a0p7_q0,200000,float64,500,cout,True
LR_a0p7_q0,200000,float64,1000,W,True
LR_a0p7_q0,200000,float64,1000,b,True
LR_a0p7_q0,200000,float64,1000,v,True
LR_a0p7_q0,200000,float64,1000,cout,True
LR_a0p7_q0,200000,float64,2000,W,True
LR_a0p7_q0,200000,float64,2000,b,True
LR_a0p7_q0,200000,float64,2000,v,True
LR_a0p7_q0,200000,float64,2000,cout,True
LR_a0p7_q0,200000,float64,5000,W,True
LR_a0p7_q0,200000,float64,5000,b,True
LR_a0p7_q0,200000,float64,5000,v,True
LR_a0p7_q0,200000,float64,5000,cout,True
LR_a0p7_q0,200000,float64,10000,W,True
LR_a0p7_q0,200000,float64,10000,b,True
LR_a0p7_q0,200000,float64,10000,v,True
LR_a0p7_q0,200000,float64,10000,cout,True
LR_a0p7_q0,200000,float32,1,W,True
LR_a0p7_q0,200000,float32,1,b,True
LR_a0p7_q0,200000,float32,1,v,True
LR_a0p7_q0,200000,float32,1,cout,True
LR_a0p7_q0,200000,float32,2,W,True
LR_a0p7_q0,200000,float32,2,b,True
LR_a0p7_q0,200000,float32,2,v,True
LR_a0p7_q0,200000,float32,2,cout,True
LR_a0p7_q0,200000,float32,5,W,True
LR_a0p7_q0,200000,float32,5,b,True
LR_a0p7_q0,200000,float32,5,v,True
LR_a0p7_q0,200000,float32,5,cout,True
LR_a0p7_q0,200000,float32,10,W,True
LR_a0p7_q0,200000,float32,10,b,True
LR_a0p7_q0,200000,float32,10,v,True
LR_a0p7_q0,200000,float32,10,cout,True
LR_a0p7_q0,200000,float32,20,W,True
LR_a0p7_q0,200000,float32,20,b,True
LR_a0p7_q0,200000,float32,20,v,True
LR_a0p7_q0,200000,float32,20,cout,True
LR_a0p7_q0,200000,float32,50,W,True
LR_a0p7_q0,200000,float32,50,b,True
LR_a0p7_q0,200000,float32,50,v,True
LR_a0p7_q0,200000,float32,50,cout,True
LR_a0p7_q0,200000,float32,100,W,True
LR_a0p7_q0,200000,float32,100,b,True
LR_a0p7_q0,200000,float32,100,v,True
LR_a0p7_q0,200000,float32,100,cout,True
LR_a0p7_q0,200000,float32,200,W,True
LR_a0p7_q0,200000,float32,200,b,True
LR_a0p7_q0,200000,float32,200,v,True
LR_a0p7_q0,200000,float32,200,cout,True
LR_a0p7_q0,200000,float32,500,W,True
LR_a0p7_q0,200000,float32,500,b,True
LR_a0p7_q0,200000,float32,500,v,True
LR_a0p7_q0,200000,float32,500,cout,True
LR_a0p7_q0,200000,float32,1000,W,True
LR_a0p7_q0,200000,float32,1000,b,True
LR_a0p7_q0,200000,float32,1000,v,True
LR_a0p7_q0,200000,float32,1000,cout,True
LR_a0p7_q0,200000,float32,2000,W,True
LR_a0p7_q0,200000,float32,2000,b,True
LR_a0p7_q0,200000,float32,2000,v,True
LR_a0p7_q0,200000,float32,2000,cout,True
LR_a0p7_q0,200000,float32,5000,W,True
LR_a0p7_q0,200000,float32,5000,b,True
LR_a0p7_q0,200000,float32,5000,v,True
LR_a0p7_q0,200000,float32,5000,cout,True
LR_a0p7_q0,200000,float32,10000,W,True
LR_a0p7_q0,200000,float32,10000,b,True
LR_a0p7_q0,200000,float32,10000,v,True
LR_a0p7_q0,200000,float32,10000,cout,True
LR_a0p7_q0,1000000,float64,1,W,True
LR_a0p7_q0,1000000,float64,1,b,True
LR_a0p7_q0,1000000,float64,1,v,True
LR_a0p7_q0,1000000,float64,1,cout,True
LR_a0p7_q0,1000000,float64,2,W,True
LR_a0p7_q0,1000000,float64,2,b,True
LR_a0p7_q0,1000000,float64,2,v,True
LR_a0p7_q0,1000000,float64,2,cout,True
LR_a0p7_q0,1000000,float64,5,W,True
LR_a0p7_q0,1000000,float64,5,b,True
LR_a0p7_q0,1000000,float64,5,v,True
LR_a0p7_q0,1000000,float64,5,cout,True
LR_a0p7_q0,1000000,float64,10,W,True
LR_a0p7_q0,1000000,float64,10,b,True
LR_a0p7_q0,1000000,float64,10,v,True
LR_a0p7_q0,1000000,float64,10,cout,True
LR_a0p7_q0,1000000,float64,20,W,True
LR_a0p7_q0,1000000,float64,20,b,True
LR_a0p7_q0,1000000,float64,20,v,True
LR_a0p7_q0,1000000,float64,20,cout,True
LR_a0p7_q0,1000000,float64,50,W,True
LR_a0p7_q0,1000000,float64,50,b,True
LR_a0p7_q0,1000000,float64,50,v,True
LR_a0p7_q0,1000000,float64,50,cout,True
LR_a0p7_q0,1000000,float64,100,W,True
LR_a0p7_q0,1000000,float64,100,b,True
LR_a0p7_q0,1000000,float64,100,v,True
LR_a0p7_q0,1000000,float64,100,cout,True
LR_a0p7_q0,1000000,float64,200,W,True
LR_a0p7_q0,1000000,float64,200,b,True
LR_a0p7_q0,1000000,float64,200,v,True
LR_a0p7_q0,1000000,float64,200,cout,True
LR_a0p7_q0,1000000,float64,500,W,True
LR_a0p7_q0,1000000,float64,500,b,True
LR_a0p7_q0,1000000,float64,500,v,True
LR_a0p7_q0,1000000,float64,500,cout,True
LR_a0p7_q0,1000000,float64,1000,W,True
LR_a0p7_q0,1000000,float64,1000,b,True
LR_a0p7_q0,1000000,float64,1000,v,True
LR_a0p7_q0,1000000,float64,1000,cout,True
LR_a0p7_q0,1000000,float64,2000,W,True
LR_a0p7_q0,1000000,float64,2000,b,True
LR_a0p7_q0,1000000,float64,2000,v,True
LR_a0p7_q0,1000000,float64,2000,cout,True
LR_a0p7_q0,1000000,float64,5000,W,True
LR_a0p7_q0,1000000,float64,5000,b,True
LR_a0p7_q0,1000000,float64,5000,v,True
LR_a0p7_q0,1000000,float64,5000,cout,True
LR_a0p7_q0,1000000,float64,10000,W,True
LR_a0p7_q0,1000000,float64,10000,b,True
LR_a0p7_q0,1000000,float64,10000,v,True
LR_a0p7_q0,1000000,float64,10000,cout,True
LR_a0p7_q0,1000000,float32,1,W,True
LR_a0p7_q0,1000000,float32,1,b,True
LR_a0p7_q0,1000000,float32,1,v,True
LR_a0p7_q0,1000000,float32,1,cout,True
LR_a0p7_q0,1000000,float32,2,W,True
LR_a0p7_q0,1000000,float32,2,b,True
LR_a0p7_q0,1000000,float32,2,v,True
LR_a0p7_q0,1000000,float32,2,cout,True
LR_a0p7_q0,1000000,float32,5,W,True
LR_a0p7_q0,1000000,float32,5,b,True
LR_a0p7_q0,1000000,float32,5,v,True
LR_a0p7_q0,1000000,float32,5,cout,True
LR_a0p7_q0,1000000,float32,10,W,True
LR_a0p7_q0,1000000,float32,10,b,True
LR_a0p7_q0,1000000,float32,10,v,True
LR_a0p7_q0,1000000,float32,10,cout,True
LR_a0p7_q0,1000000,float32,20,W,True
LR_a0p7_q0,1000000,float32,20,b,True
LR_a0p7_q0,1000000,float32,20,v,True
LR_a0p7_q0,1000000,float32,20,cout,True
LR_a0p7_q0,1000000,float32,50,W,True
LR_a0p7_q0,1000000,float32,50,b,True
LR_a0p7_q0,1000000,float32,50,v,True
LR_a0p7_q0,1000000,float32,50,cout,True
LR_a0p7_q0,1000000,float32,100,W,True
LR_a0p7_q0,1000000,float32,100,b,True
LR_a0p7_q0,1000000,float32,100,v,True
LR_a0p7_q0,1000000,float32,100,cout,True
LR_a0p7_q0,1000000,float32,200,W,True
LR_a0p7_q0,1000000,float32,200,b,True
LR_a0p7_q0,1000000,float32,200,v,True
LR_a0p7_q0,1000000,float32,200,cout,True
LR_a0p7_q0,1000000,float32,500,W,True
LR_a0p7_q0,1000000,float32,500,b,True
LR_a0p7_q0,1000000,float32,500,v,True
LR_a0p7_q0,1000000,float32,500,cout,True
LR_a0p7_q0,1000000,float32,1000,W,True
LR_a0p7_q0,1000000,float32,1000,b,True
LR_a0p7_q0,1000000,float32,1000,v,True
LR_a0p7_q0,1000000,float32,1000,cout,True
LR_a0p7_q0,1000000,float32,2000,W,True
LR_a0p7_q0,1000000,float32,2000,b,True
LR_a0p7_q0,1000000,float32,2000,v,True
LR_a0p7_q0,1000000,float32,2000,cout,True
LR_a0p7_q0,1000000,float32,5000,W,True
LR_a0p7_q0,1000000,float32,5000,b,True
LR_a0p7_q0,1000000,float32,5000,v,True
LR_a0p7_q0,1000000,float32,5000,cout,True
LR_a0p7_q0,1000000,float32,10000,W,True
LR_a0p7_q0,1000000,float32,10000,b,True
LR_a0p7_q0,1000000,float32,10000,v,True
LR_a0p7_q0,1000000,float32,10000,cout,True
LR_a0p7_q0,5000000,float64,1,W,True
LR_a0p7_q0,5000000,float64,1,b,True
LR_a0p7_q0,5000000,float64,1,v,True
LR_a0p7_q0,5000000,float64,1,cout,True
LR_a0p7_q0,5000000,float64,2,W,True
LR_a0p7_q0,5000000,float64,2,b,True
LR_a0p7_q0,5000000,float64,2,v,True
LR_a0p7_q0,5000000,float64,2,cout,True
LR_a0p7_q0,5000000,float64,5,W,True
LR_a0p7_q0,5000000,float64,5,b,True
LR_a0p7_q0,5000000,float64,5,v,True
LR_a0p7_q0,5000000,float64,5,cout,True
LR_a0p7_q0,5000000,float64,10,W,True
LR_a0p7_q0,5000000,float64,10,b,True
LR_a0p7_q0,5000000,float64,10,v,True
LR_a0p7_q0,5000000,float64,10,cout,True
LR_a0p7_q0,5000000,float64,20,W,True
LR_a0p7_q0,5000000,float64,20,b,True
LR_a0p7_q0,5000000,float64,20,v,True
LR_a0p7_q0,5000000,float64,20,cout,True
LR_a0p7_q0,5000000,float64,50,W,True
LR_a0p7_q0,5000000,float64,50,b,True
LR_a0p7_q0,5000000,float64,50,v,True
LR_a0p7_q0,5000000,float64,50,cout,True
LR_a0p7_q0,5000000,float64,100,W,True
LR_a0p7_q0,5000000,float64,100,b,True
LR_a0p7_q0,5000000,float64,100,v,True
LR_a0p7_q0,5000000,float64,100,cout,True
LR_a0p7_q0,5000000,float64,200,W,True
LR_a0p7_q0,5000000,float64,200,b,True
LR_a0p7_q0,5000000,float64,200,v,True
LR_a0p7_q0,5000000,float64,200,cout,True
LR_a0p7_q0,5000000,float64,500,W,True
LR_a0p7_q0,5000000,float64,500,b,True
LR_a0p7_q0,5000000,float64,500,v,True
LR_a0p7_q0,5000000,float64,500,cout,True
LR_a0p7_q0,5000000,float64,1000,W,True
LR_a0p7_q0,5000000,float64,1000,b,True
LR_a0p7_q0,5000000,float64,1000,v,True
LR_a0p7_q0,5000000,float64,1000,cout,True
LR_a0p7_q0,5000000,float64,2000,W,True
LR_a0p7_q0,5000000,float64,2000,b,True
LR_a0p7_q0,5000000,float64,2000,v,True
LR_a0p7_q0,5000000,float64,2000,cout,True
LR_a0p7_q0,5000000,float64,5000,W,True
LR_a0p7_q0,5000000,float64,5000,b,True
LR_a0p7_q0,5000000,float64,5000,v,True
LR_a0p7_q0,5000000,float64,5000,cout,True
LR_a0p7_q0,5000000,float64,10000,W,True
LR_a0p7_q0,5000000,float64,10000,b,True
LR_a0p7_q0,5000000,float64,10000,v,True
LR_a0p7_q0,5000000,float64,10000,cout,True
LR_a0p7_q0,5000000,float32,1,W,True
LR_a0p7_q0,5000000,float32,1,b,True
LR_a0p7_q0,5000000,float32,1,v,True
LR_a0p7_q0,5000000,float32,1,cout,True
LR_a0p7_q0,5000000,float32,2,W,True
