env,checkpoint,layer,metric,contrast,seed0,seed1,seed2,mean,sd,ci95_low,ci95_high,scope,cohort_status,pilot_label
PM,10,1,all_end_acc,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,1,all_end_acc,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_auc,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,first_auc,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,10,2,all_auc,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_auc,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_ce,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_ce,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,first_end_acc,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,10,2,all_end_acc,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_auc,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,first_auc,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY_NOT_CLASSIFIED
PM,20,1,all_auc,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,G_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,G10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,dose_train_minus_freeze5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,all_auc,dose_train_minus_freeze10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_end_ce,R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_end_ce,G20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_end_ce,deep_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_end_ce,lift_update_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_end_ce,Rrandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_end_ce,Grandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
PM,20,1,first_end_ce,R_target_minus_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECONDARY,COHORT_TOO_SMALL,SECONDARY
