step,run_id,loss
1000,A_w100_T10000_centered_lr0.01_s0,0.339689
1000,A_w100_T10000_centered_lr0.01_s1,0.557909
1000,A_w100_T10000_centered_lr0.01_s2,0.189057
1000,A_w100_T10000_centered_lr0.01_s3,0.342792
1000,A_w100_T10000_centered_lr0.01_s4,0.581828
1000,A_w100_T10000_centered_lr0.01_s5,0.484799
1000,A_w100_T10000_centered_lr0.01_s6,0.666006
1000,A_w100_T10000_centered_lr0.01_s7,0.753314
1000,A_w100_T10000_centered_lr0.01_s8,0.824404
1000,A_w100_T10000_centered_lr0.01_s9,0.801211
2000,A_w100_T10000_centered_lr0.01_s0,0.0820174
2000,A_w100_T10000_centered_lr0.01_s1,0.297069
2000,A_w100_T10000_centered_lr0.01_s2,0.058864
2000,A_w100_T10000_centered_lr0.01_s3,0.133733
2000,A_w100_T10000_centered_lr0.01_s4,0.135012
2000,A_w100_T10000_centered_lr0.01_s5,0.260616
2000,A_w100_T10000_centered_lr0.01_s6,0.181319
2000,A_w100_T10000_centered_lr0.01_s7,0.322065
2000,A_w100_T10000_centered_lr0.01_s8,0.305294
2000,A_w100_T10000_centered_lr0.01_s9,0.291822
3000,A_w100_T10000_centered_lr0.01_s0,0.0268064
3000,A_w100_T10000_centered_lr0.01_s1,0.172187
3000,A_w100_T10000_centered_lr0.01_s2,0.0341066
3000,A_w100_T10000_centered_lr0.01_s3,0.0580372
3000,A_w100_T10000_centered_lr0.01_s4,0.0413495
3000,A_w100_T10000_centered_lr0.01_s5,0.136472
3000,A_w100_T10000_centered_lr0.01_s6,0.0693622
3000,A_w100_T10000_centered_lr0.01_s7,0.119567
3000,A_w100_T10000_centered_lr0.01_s8,0.118602
3000,A_w100_T10000_centered_lr0.01_s9,0.0925861
4000,A_w100_T10000_centered_lr0.01_s0,0.0124913
4000,A_w100_T10000_centered_lr0.01_s1,0.0726649
4000,A_w100_T10000_centered_lr0.01_s2,0.0195276
4000,A_w100_T10000_centered_lr0.01_s3,0.0283165
4000,A_w100_T10000_centered_lr0.01_s4,0.0158262
4000,A_w100_T10000_centered_lr0.01_s5,0.0507015
4000,A_w100_T10000_centered_lr0.01_s6,0.024343
4000,A_w100_T10000_centered_lr0.01_s7,0.0405121
4000,A_w100_T10000_centered_lr0.01_s8,0.0442237
4000,A_w100_T10000_centered_lr0.01_s9,0.032807
5000,A_w100_T10000_centered_lr0.01_s0,0.00680888
5000,A_w100_T10000_centered_lr0.01_s1,0.0303353
5000,A_w100_T10000_centered_lr0.01_s2,0.012116
5000,A_w100_T10000_centered_lr0.01_s3,0.0128789
5000,A_w100_T10000_centered_lr0.01_s4,0.00830595
5000,A_w100_T10000_centered_lr0.01_s5,0.017048
5000,A_w100_T10000_centered_lr0.01_s6,0.00915074
5000,A_w100_T10000_centered_lr0.01_s7,0.0130212
5000,A_w100_T10000_centered_lr0.01_s8,0.0167926
5000,A_w100_T10000_centered_lr0.01_s9,0.0154318
6000,A_w100_T10000_centered_lr0.01_s0,0.0038322
6000,A_w100_T10000_centered_lr0.01_s1,0.0166717
6000,A_w100_T10000_centered_lr0.01_s2,0.0073619
6000,A_w100_T10000_centered_lr0.01_s3,0.0057619
6000,A_w100_T10000_centered_lr0.01_s4,0.00686435
6000,A_w100_T10000_centered_lr0.01_s5,0.00866739
6000,A_w100_T10000_centered_lr0.01_s6,0.0064973
6000,A_w100_T10000_centered_lr0.01_s7,0.00793416
6000,A_w100_T10000_centered_lr0.01_s8,0.0102019
6000,A_w100_T10000_centered_lr0.01_s9,0.00753531
