step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss
0,A_w5_T100_std_lr0.01_s0,0.4,0,0.2,1.97008,1.54401,0.46,0,1.46078
0,A_w5_T100_std_lr0.01_s1,0.4,0,0.4,2.02887,2.3207,0.49,0,1.7578
0,A_w5_T100_std_lr0.01_s2,0.6,0,0.6,1.89407,1.65042,0.5,0,3.16678
0,A_w5_T100_std_lr0.01_s3,0,0,0,2.45506,2.87945,0.46,0,2.93209
0,A_w5_T100_std_lr0.01_s4,0.2,0,0.2,3.27294,1.74644,0.52,0,1.84334
0,A_w5_T100_centered_lr0.01_s0,0.4,0,0.4,2.84126,2.83641,0.52,0,0.923289
0,A_w5_T100_centered_lr0.01_s1,0,0,0,2.8513,2.68337,0.54,0,1.57726
0,A_w5_T100_centered_lr0.01_s2,0.2,0,0.2,2.23406,1.66565,0.46,0,2.98456
0,A_w5_T100_centered_lr0.01_s3,0,0,0,2.39157,2.04763,0.5,0,4.8249
0,A_w5_T100_centered_lr0.01_s4,0.4,0,0.4,2.01903,1.65346,0.53,0,4.14172
0,A_w5_T1000_std_lr0.01_s0,0.4,0.1,0.4,1.91903,1.56717,0.5,0,3.94378
0,A_w5_T1000_std_lr0.01_s1,0.2,0.1,0.2,2.30924,2.42658,0.54,0,9.1871
0,A_w5_T1000_std_lr0.01_s2,0.2,0,0.2,3.06061,2.42777,0.5,0,1.4348
0,A_w5_T1000_std_lr0.01_s3,0.2,0,0.2,2.46331,2.07359,0.54,0,2.87119
0,A_w5_T1000_std_lr0.01_s4,0.6,0,0.6,1.51402,1.93532,0.49,0,6.44465
0,A_w5_T1000_centered_lr0.01_s0,0,0,0,4.20687,3.30913,0.42,0,2.8613
0,A_w5_T1000_centered_lr0.01_s1,0.4,0,0.2,2.05953,1.60883,0.52,0,5.20086
0,A_w5_T1000_centered_lr0.01_s2,0.6,0,0.6,1.61377,1.21506,0.46,0,12.7902
0,A_w5_T1000_centered_lr0.01_s3,0,0,0,2.88627,2.89376,0.46,0,0.992102
0,A_w5_T1000_centered_lr0.01_s4,0.2,0,0.2,3.08172,2.47742,0.47,0,1.24869
0,A_w5_T10000_std_lr0.01_s0,0,0,0,2.81363,2.09328,0.47,0,1.53365
0,A_w5_T10000_std_lr0.01_s1,0.2,0,0.2,2.26402,1.8619,0.5,0,3.06975
0,A_w5_T10000_std_lr0.01_s2,0.4,0.1,0.4,1.35234,1.46649,0.45,0,5.87562
